Position,FPPG,Salary,Team,MIN,PTS,FGM,FGA,REB,1,2,3,4,5
SG,James Harden,10800,HOU,37.8,25.6,8.2,18.8,5.9,96.3,24.7,58.5,50.3,44.4
SF,Paul George,9700,IND,37.5,21.4,7.7,17.9,7.2,91.7,25.1,54.2,46.5,39.3
SG,Jimmy Butler,8300,CHI,37.5,20.4,6.9,16.4,4.8,86,21.2,48.5,41.6,36.8
PG,Damian Lillard,9500,POR,37,22.1,7.8,17.6,4.2,88.7,21.8,51.7,43.9,39.7
PG,Kemba Walker,7700,CHA,36.8,21.9,7.8,18.9,3.6,89,22.5,52.2,44.4,40.8
SF,Gordon Hayward,6600,UTA,36.4,20,6.7,15.2,4.7,83,19.9,46.6,39.9,35.2
C,DeMarcus Cousins,10300,SAC,36.3,24.1,8.7,17.7,11.7,98.5,29.4,62.2,53.5,41.8
PF,Blake Griffin,9100,LAC,35.8,24,8.7,18.4,7.7,94.6,26.1,58.8,50.1,42.4
SF,Trevor Ariza,5800,HOU,35.8,12.8,4.5,10.9,5.6,69.6,16.5,33.8,29.3,23.7
SF,Kawhi Leonard,8900,SA,35.4,20.7,7.3,16.2,6.9,86.5,23.1,51.1,43.8,36.9
SG,Jamal Crawford,4200,LAC,35.2,19.7,6.8,16.5,3.5,81.7,20,46.5,39.7,36.2
SF,Andrew Wiggins,7400,MIN,35,17.4,6.5,14.8,4.2,77.9,19,42.9,36.4,32.2
SG,J.R. Smith,5400,CLE,35,12.8,4.4,10.7,3.5,66.4,14.2,31.4,27,23.5
SF,Nicolas Batum,7100,CHA,34.7,12.9,4.7,10.7,5.7,68.7,16.4,34,29.3,23.6
PG,Derrick Rose,6800,CHI,34.3,16.1,5.8,15,3.6,74.8,18.6,40.5,34.7,31.1
SF,Carmelo Anthony,8300,NY,34.2,21.6,7.9,17.3,6.3,87.3,23.6,53.1,45.2,38.9
SG,C.J. McCollum,6900,POR,34.2,16.6,6,14.2,3.4,74.4,17.6,40.2,34.2,30.8
PG,Elfrid Payton,6500,ORL,34,12,4.4,11.7,5,67.1,16.7,33.1,28.7,23.7
PF,Kristaps Porzingis,7300,NY,33.8,14.4,5.8,11.8,7.5,73.3,19.3,39.5,33.7,26.2
PF,Derrick Favors,7900,UTA,33.7,18.7,7.4,13.6,8.7,82.1,22.3,48.4,41,32.3
PF,Pau Gasol,8100,CHI,33.6,18.9,6.8,14.6,10.4,84.3,25,50.7,43.9,33.5
PF,Chris Bosh,7900,MIA,33.5,17.1,6.5,13.6,8.3,79,21.9,45.5,39,30.7
PF,Kevin Love,8200,CLE,33.4,15.8,5.9,11.8,9.7,76.6,21.5,43.2,37.3,27.6
