name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"James Harden","GF","SG","HOU","GS","39","43.15","10700"
"Stephen Curry","G","PG","GS","HOU","36.2","42.99","10400"
"LeBron James","F","SF","CLE","MIA","37.5","41.21","10700"
"LaMarcus Aldridge","FC","PF","SA","BKN","36.2","40.51","8400"
"Rudy Gay","F","SF","SAC","LAL","37.9","36.3","7900"
"DeMar DeRozan","GF","SG","TOR","BOS","36.6","36.56","8100"
"Kyle Lowry","PG","PG","TOR","BOS","38","39.05","7500"
"Russell Westbrook","PG","PG","OKC","ORL","35","39.56","10800"
"Klay Thompson","GF","SG","GS","HOU","31","31.65","7100"
"Jimmy Butler","GF","SG","CHI","DET","37.5","33.53","7700"
"Pau Gasol","FC","C","CHI","DET","33.6","40.1","7800"
"Damian Lillard","PG","PG","POR","PHX","34.5","34.27","9100"
"Gordon Hayward","GF","SF","UTAH","PHI","34.8","36.29","7200"
"Paul Millsap","FC","PF","ATL","CHA","35.1","38.95","7700"
"Jeff Teague","PG","PG","ATL","CHA","35.3","36.28","7200"
"Chris Bosh","FC","PF","MIA","CLE","35.8","32.69","8100"
"Kevin Martin","GF","SG","MIN","DEN","32.9","26.86","5200"
"Louis Williams","SG","PG","LAL","SAC","32.8","28.75","4900"
"Nikola Vucevic","FC","C","ORL","OKC","34.3","37.71","7700"
"Kobe Bryant","GF","SF","LAL","SAC","35.2","34.37","8200"
"Derrick Favors","FC","PF","UTAH","PHI","32","33.74","7400"
"DeMarcus Cousins","FC","PF","SAC","LAL","34.1","39.8","10900"
"Dwyane Wade","G","SG","MIA","CLE","32.6","30.85","7000"
"John Wall","PG","PG","WSH","MIL","35.2","35.68","9600"
"Kawhi Leonard","GF","SF","SA","BKN","33.4","34.75","8100"
"Tim Duncan","FC","C","SA","BKN","31.9","35.88","7300"
"Isaiah Thomas","PG","PG","BOS","TOR","31.7","30.09","7100"
"Victor Oladipo","G","SG","ORL","OKC","35.1","30.43","7700"
"Andrew Wiggins","GF","SG","MIN","DEN","34.1","27.82","7100"
"Al Horford","FC","C","ATL","CHA","33","35.85","7200"
"Andrea Bargnani","FC","PF","BKN","SA","33.4","31.78","4600"
"Brandon Knight","G","SG","PHX","POR","33.6","29.49","6400"
"Kevin Love","FC","PF","CLE","MIA","33.6","31.56","7300"
"Brook Lopez","C","C","BKN","SA","33.1","31.72","7900"
"Greg Monroe","FC","C","MIL","WSH","35.3","33.3","8300"
"Ty Lawson","PG","PG","HOU","GS","35.3","31.06","7300"
"DeMarre Carroll","F","SF","TOR","BOS","33","28.81","6300"
"Trey Burke","PG","PG","UTAH","PHI","31.4","27.35","5400"
"Reggie Jackson","G","PG","DET","CHI","31.3","27.94","8100"
"Serge Ibaka","FC","PF","OKC","ORL","32.5","32.51","6900"
"Eric Bledsoe","G","PG","PHX","POR","34.3","29.88","7100"
"Kemba Walker","PG","PG","CHA","ATL","33.4","28.96","7300"
"Joe Johnson","GF","SF","BKN","SA","35.8","26.05","6800"
"Markieff Morris","FC","PF","PHX","POR","31.8","25.83","5800"
"Gerald Green","GF","SF","MIA","CLE","28.5","22.35","4000"
"Luol Deng","F","SF","MIA","CLE","32.7","22.91","5800"
"Brandon Bass","FC","PF","LAL","SAC","31.1","27.37","3800"
"Dwight Howard","FC","C","HOU","GS","32.9","32.32","8500"
"Nick Young","GF","SF","LAL","SAC","24.4","21.49","3900"
"Marcin Gortat","C","C","WSH","MIL","31.4","31.05","6400"
"Bradley Beal","SG","SG","WSH","MIL","33.6","24.03","7200"
"J.R. Smith","GF","SG","CLE","MIA","32.3","24.83","5800"
"Tobias Harris","F","PF","ORL","OKC","30.4","26.97","6800"
"Goran Dragic","G","PG","MIA","CLE","34.4","26.49","6400"
"Darren Collison","PG","PG","SAC","LAL","31.4","28.66","5800"
"Shabazz Muhammad","GF","SG","MIN","DEN","27.2","21.99","4300"
"Kenneth Faried","FC","PF","DEN","MIN","29.1","30.38","6900"
"Tony Parker","PG","PG","SA","BKN","29.1","24.83","5400"
"Danilo Gallinari","SF","SF","DEN","MIN","30.3","23.59","6900"
"Al Jefferson","FC","C","CHA","ATL","30.9","28.5","7600"
"Thaddeus Young","F","PF","BKN","SA","31.8","25.42","5500"
"Michael Carter-Williams","PG","PG","MIL","WSH","33.3","30.9","6800"
"Dennis Schroder","PG","PG","ATL","CHA","25.9","22.56","4600"
"Andre Drummond","FC","C","DET","CHI","29.2","27.46","8900"
"Ricky Rubio","PG","PG","MIN","DEN","33.8","32.57","7800"
"Danny Green","GF","SG","SA","BKN","29.3","25.9","4200"
"Dion Waiters","GF","SG","OKC","ORL","30.4","21.83","4800"
"Jordan Clarkson","G","SG","LAL","SAC","30.2","23.91","6600"
"Corey Brewer","GF","SF","HOU","GS","30.4","24.61","4100"
