POS,name,team,Minutes,FP,FP/M,Salary,opp
C,Brook Lopez,BKN,30.5,27.755,0.91,7700,MIL
PG,Jarrett Jack,BKN,36,27,0.75,6300,MIL
PF,Thaddeus Young,BKN,31.6,26.544,0.84,5500,MIL
SG,Joe Johnson,BKN,32,27.2,0.85,6200,MIL
C,Andrea Bargnani,BKN,17,9.775,0.575,4000,MIL
SG,Wayne Ellington,BKN,15,10.5,0.7,3500,MIL
SF,Bojan Bogdanovic,BKN,29,16.675,0.575,4000,MIL
PG,Shane Larkin,BKN,16.5,10.989,0.666,4300,MIL
PF,Thomas Robinson,BKN,16.1,10.7226,0.666,4400,MIL
SF,Rondae Hollis-Jefferson,BKN,5,3.33,0.666,3500,MIL
SF,Sergey Karasev,BKN,5,2.825581395,0.565116279,3500,MIL
SG,Markel Brown,BKN,13.6,6.12,0.45,3500,MIL
PG,Donald Sloan,BKN,3.1,1.7236,0.556,3500,MIL
SF,LeBron James,CLE,36,35.28,0.98,10600,PHI
PF,Kevin Love,CLE,34.8,33.06,0.95,7600,PHI
PG,Mo Williams,CLE,36.6,34.404,0.94,5500,PHI
SG,J.R. Smith,CLE,28.9,22.831,0.79,5400,PHI
C,Timofey Mozgov,CLE,25.9,19.2955,0.745,4500,PHI
PF,Tristan Thompson,CLE,22.4,16.128,0.72,5100,PHI
PG,Matthew Dellavedova,CLE,23.4,13.806,0.59,4200,PHI
C,Anderson Varejao,CLE,15.8,7.1732,0.454,3700,PHI
SF,Richard Jefferson,CLE,19.5,8.853,0.454,3500,PHI
SF,James Jones,CLE,5.3,2.4062,0.454,3500,PHI
PG,Stephen Curry,GS,36,38.161116,1.060031,11000,MEM
SG,Klay Thompson,GS,34.5,28.29,0.82,6700,MEM
PF,Draymond Green,GS,34,28.186,0.829,7800,MEM
SF,Harrison Barnes,GS,33.25,19.91675,0.599,4800,MEM
PF,Marreese Speights,GS,14.25,12.21225,0.857,3800,MEM
PF,Jason Thompson,GS,14,8.26,0.59,4600,MEM
SF,Andre Iguodala,GS,24,15.6,0.65,4600,MEM
SG,Leandro Barbosa,GS,14.1,9672.6,686,3800,MEM
PG,Shaun Livingston,GS,16,10.544,0.659,3700,MEM
PF,James Michael McAdoo,GS,1.9,1.4,0.736842105,3500,MEM
C,Festus Ezeli,GS,21.5,15.3295,0.713,3500,MEM
SG,James Harden,HOU,37.5,37.5,1,10400,OKC
PG,Ty Lawson,HOU,36,30.78,0.855,7100,OKC
C,Dwight Howard,HOU,33.4,32.398,0.97,8200,OKC
PF,Terrence Jones,HOU,0,0,0.875,5700,OKC
SF,Trevor Ariza,HOU,35.8,28.63642,0.7999,5500,OKC
PF,Donatas Motiejunas,HOU,0,0,0.75,6400,OKC
PG,Patrick Beverley,HOU,21.8,15.042,0.69,3900,OKC
SF,Corey Brewer,HOU,23.5,15.651,0.666,4100,OKC
PG,Jason Terry,HOU,2.7,1.5255,0.565,3500,OKC
PF,Montrezl Harrell,HOU,22,16.61,0.755,3600,OKC
C,Clint Capela,HOU,14.5,10.9765,0.757,4500,OKC
PG,Chris Paul,LAC,33.25,32.984,0.992,9300,PHX
C,DeAndre Jordan,LAC,32.25,33.37875,1.035,8100,PHX
SG,J.J. Redick,LAC,30,23.31,0.777,4900,PHX
SG,Jamal Crawford,LAC,19,12.464,0.656,4900,PHX
SF,Paul Pierce,LAC,22,12.43,0.565,4100,PHX
PF,Josh Smith,LAC,16.5,10.989,0.666,4400,PHX
SF,Wesley Johnson,LAC,17.5,9.8875,0.565,4300,PHX
C,Cole Aldrich,LAC,13,7.215,0.555,3600,PHX
SG,Austin Rivers,LAC,16.5,9.1575,0.555,3600,PHX
SF,Lance Stephenson,LAC,21.5,16.4905,0.767,3500,PHX
PG,Pablo Prigioni,LAC,0.1,0.0278,0.278,3500,PHX
PF,Blake Griffin,LAC,34.5,37.26,1.08,10300,
C,Marc Gasol,MEM,34.1,32.054,0.94,7700,GS
PG,Mike Conley,MEM,31.5,26.9325,0.855,6600,GS
PF,Zach Randolph,MEM,30.5,25.7725,0.845,6800,GS
SF,Jeff Green,MEM,26.5,18.02,0.68,4600,GS
SG,Tony Allen,MEM,24,16.32,0.68,4800,GS
