name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Blake Griffin","PF","LAC","GS","40.7","0","46.88"
"Stephen Curry","PG","GS","LAC","38.2","0","39.83"
"Russell Westbrook","PG","OKC","TOR","38.1","0","42.18"
"Monta Ellis","SG","IND","BOS","37.4","0","37.08"
"Carmelo Anthony","SF","NY","CLE","39.2","0","34.82"
"LeBron James","SF","CLE","NY","35.2","0","40.7"
"James Harden","SF","HOU","ORL","36.5","0","39.79"
"LaMarcus Aldridge","PF","SA","WSH","36.2","0","38.9"
"Klay Thompson","SG","GS","LAC","34.5","0","33.09"
"Chris Paul","PG","LAC","GS","36.1","0","38.29"
"Rudy Gay","SF","SAC","PHX","34.7","0","33.94"
"Kyle Lowry","PG","TOR","OKC","37.7","0","36.86"
"DeMarcus Cousins","PF","SAC","PHX","35.5","0","39.16"
"Nikola Vucevic","C","ORL","HOU","36.6","0","38.97"
"George Hill","PG","IND","BOS","31.9","0","30.88"
"Gordon Hayward","SF","UTAH","POR","34.5","0","34.77"
"Jamal Crawford","SG","LAC","GS","34.6","0","29.66"
"Damian Lillard","PG","POR","UTAH","33.7","0","32.78"
"Derrick Favors","PF","UTAH","POR","35.7","0","36.93"
"DeMar DeRozan","SG","TOR","OKC","35.9","0","31.29"
"Jeff Teague","PG","ATL","BKN","33","0","35"
"Tim Duncan","C","SA","WSH","34.1","0","37.79"
"Brandon Knight","SG","PHX","SAC","33.7","0","32.45"
"Eric Bledsoe","PG","PHX","SAC","33.6","0","33.97"
"Paul Millsap","PF","ATL","BKN","33.6","0","35.7"
"Kevin Love","PF","CLE","NY","33.6","0","33.24"
"Mo Williams","PG","CLE","NY","36.3","0","31.04"
"Victor Oladipo","SG","ORL","HOU","34.8","0","29.93"
"DeMarre Carroll","SF","TOR","OKC","36.9","0","30.83"
"Dwight Howard","C","HOU","ORL","32","0","34.42"
"Isaiah Thomas","PG","BOS","IND","29.8","0","28.38"
"Enes Kanter","C","OKC","TOR","27.7","0","30.45"
"John Wall","PG","WSH","SA","37.6","0","35.35"
"Markieff Morris","PF","PHX","SAC","32.2","0","27.88"
"Al Horford","C","ATL","BKN","31.7","0","33.26"
"Terrence Jones","PF","HOU","ORL","34.3","0","35.96"
"Ty Lawson","PG","HOU","ORL","34","0","31.78"
"Kawhi Leonard","SF","SA","WSH","33.9","0","33.63"
"Brook Lopez","C","BKN","ATL","33.1","0","33.57"
"J.J. Redick","SG","LAC","GS","33.2","0","22.89"
"Alec Burks","SG","UTAH","POR","32.8","0","24.97"
"Jarrett Jack","PG","BKN","ATL","34.6","0","29.59"
"Greg Monroe","C","MIL","PHI","30.8","0","32.18"
"Bradley Beal","SG","WSH","SA","33.9","0","26.79"
"Tobias Harris","PF","ORL","HOU","31.8","0","27.52"
"Harrison Barnes","SF","GS","LAC","32.5","0","25.22"
"Darren Collison","PG","SAC","PHX","31.2","0","27.36"
"Donatas Motiejunas","PF","HOU","ORL","28","0","27.22"
"Rodney Stuckey","PG","IND","BOS","29","0","24.53"
"Paul George","PF","IND","BOS","31.5","0","25.73"
"Michael Carter-Williams","PG","MIL","PHI","32.2","0","32.53"
"Joe Johnson","SF","BKN","ATL","34.4","0","25.13"
"Serge Ibaka","PF","OKC","TOR","33.1","0","27.67"
"Khris Middleton","SF","MIL","PHI","29.9","0","25.91"
"J.R. Smith","SG","CLE","NY","30.2","0","24.07"
"Thaddeus Young","PF","BKN","ATL","31.5","0","24.42"
"David Lee","PF","BOS","IND","31.9","0","30.4"
"Trevor Ariza","PF","HOU","ORL","36.9","0","28.73"
"Jabari Parker","SF","MIL","PHI","31.4","0","23.26"
"Nene Hilario","PF","WSH","SA","30.4","0","24.86"
"Elfrid Payton","PG","ORL","HOU","32.8","0","27.79"
"C.J. McCollum","SG","POR","UTAH","32.8","0","21.65"
"Nerlens Noel","PF","PHI","MIL","36.1","0","32.39"
"C.J. Miles","SF","IND","BOS","27","0","20.24"
"Draymond Green","PF","GS","LAC","31.8","0","28.93"
"Paul Pierce","SF","LAC","GS","30.9","0","21.67"
"DeAndre Jordan","C","LAC","GS","36.2","0","31.65"
"Dion Waiters","SG","OKC","TOR","28.7","0","20.18"
"Avery Bradley","SG","BOS","IND","29.7","0","20.36"
"Willie Cauley-Stein","C","SAC","PHX","29.3","0","23.74"
"Tony Parker","PG","SA","WSH","25.6","0","20.42"
"Kristaps Porzingis","PF","NY","CLE","29.6","0","22.11"
"Langston Galloway","PG","NY","CLE","28.6","0","20.47"
"Manu Ginobili","SG","SA","WSH","24.2","0","21.79"
"Kyle Korver","SF","ATL","BKN","31.8","0","21.6"
"Kelly Oubre","SF","WSH","SA","28.4","0","22.36"
"Giannis Antetokounmpo","PF","MIL","PHI","29.6","0","23.51"
"Boris Diaw","PF","SA","WSH","29.8","0","21.65"
"Ben McLemore","SG","SAC","PHX","31.7","0","20.76"
"O.J. Mayo","SG","MIL","PHI","23.3","0","19.57"
"Marcin Gortat","C","WSH","SA","31.9","0","25.89"
"Gary Neal","SG","WSH","SA","26.3","0","18.52"
"Danny Green","SG","SA","WSH","28.8","0","21.93"
"P.J. Tucker","SF","PHX","SAC","30.7","0","22.32"
"Marco Belinelli","SG","SAC","PHX","25.8","0","18.89"
"Kelly Olynyk","C","BOS","IND","25.4","0","19.77"
"Isaiah Canaan","PG","PHI","MIL","25.5","0","19.42"
"Corey Brewer","SF","HOU","ORL","26.4","0","20.05"
"Tim Hardaway Jr.","SG","ATL","BKN","24","0","17.21"
"Jose Calderon","PG","NY","CLE","28.4","0","21.07"
"Tyler Zeller","C","BOS","IND","24.2","0","20.7"
"Mason Plumlee","C","POR","UTAH","29.8","0","25.97"
"Tyson Chandler","C","PHX","SAC","29","0","27.84"
"Evan Fournier","SF","ORL","HOU","25","0","17.13"
"D.J. Augustin","PG","OKC","TOR","25.4","0","19.28"
"Mario Hezonja","SG","ORL","HOU","24.4","0","18"
"Dennis Schroder","SG","ATL","BKN","22.6","0","18.07"
"Andrea Bargnani","PF","BKN","ATL","19.5","0","19.33"
"Rodney Hood","SG","UTAH","POR","25.1","0","17.28"
"Myles Turner","C","IND","BOS","24.4","0","18.92"
"Evan Turner","SF","BOS","IND","28.4","0","23.47"
"Jason Smith","PF","ORL","HOU","24.8","0","18.59"
"Jared Dudley","SF","WSH","SA","28","0","17.89"
"Rondae Hollis-Jefferson","PF","BKN","ATL","28","0","19.56"
"Wayne Ellington","SG","BKN","ATL","28.8","0","16.82"
"Ed Davis","PF","POR","UTAH","27.3","0","23.01"
"Greivis Vasquez","SG","MIL","PHI","22.1","0","17.3"
