name,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Kevin Durant","SF","OKC","CHI","40.7","45.4","10000"
"Kemba Walker","PG","CHA","DAL","37.6","37.19","7200"
"Dirk Nowitzki","PF","DAL","CHA","35.1","32.41","6600"
"Pau Gasol","C","CHI","OKC","33.7","36.73","7700"
"Chris Bosh","PF","MIA","MIN","33","34.35","7900"
"Jimmy Butler","SG","CHI","OKC","37.1","31.85","8000"
"Mike Conley","PG","MEM","POR","33.3","32.02","6600"
"C.J. McCollum","SG","POR","MEM","36.9","30.18","6400"
"Damian Lillard","PG","POR","MEM","37.6","32.91","8900"
"Gordon Hayward","SF","UTAH","DEN","34.1","32.43","6800"
"Dwyane Wade","SG","MIA","MIN","31.6","31.62","7100"
"Goran Dragic","PG","MIA","MIN","34.1","32.22","6300"
"Kevin Martin","SG","MIN","MIA","30.5","24.21","5100"
"Marc Gasol","C","MEM","POR","34.3","35.95","7300"
"Derrick Favors","PF","UTAH","DEN","31","34.92","8000"
"Nikola Mirotic","PF","CHI","OKC","32.8","30.28","6000"
"Andrew Wiggins","SG","MIN","MIA","36.1","24.6","6900"
"Wesley Matthews","SG","DAL","CHA","33.6","24.23","5600"
"Chandler Parsons","SF","DAL","CHA","32.3","24.76","6400"
"Zach Randolph","PF","MEM","POR","30.9","29.45","6800"
"Kenneth Faried","PF","DEN","UTAH","30.5","29.07","6900"
"Luol Deng","SF","MIA","MIN","33.2","25.3","5300"
"Al Jefferson","C","CHA","DAL","28.6","28.68","7300"
"Deron Williams","PG","DAL","CHA","31.5","27.93","6700"
"Shabazz Muhammad","SG","MIN","MIA","26.6","20.25","4000"
"Derrick Rose","PG","CHI","OKC","29.4","23.86","6900"
"Serge Ibaka","PF","OKC","CHI","33.7","27.57","7100"
"Danilo Gallinari","SF","DEN","UTAH","29.9","23.13","6700"
"Gerald Green","SF","MIA","MIN","25.4","19.37","3600"
"Jeremy Lin","PG","CHA","DAL","29.3","23.28","4900"
"Al-Farouq Aminu","SF","POR","MEM","34.6","28.65","5700"
"Alec Burks","SG","UTAH","DEN","27.8","20.8","5400"
"Hassan Whiteside","C","MIA","MIN","29.1","29.1","8000"
"Aaron Brooks","PG","CHI","OKC","24.8","21.13","4200"
"Courtney Lee","SG","MEM","POR","30.3","18.31","4000"
"Ricky Rubio","PG","MIN","MIA","31.8","27.39","7700"
"Rodney Hood","SG","UTAH","DEN","27","19.24","4500"
"Enes Kanter","C","OKC","CHI","24","21.47","6600"
"Trey Burke","PG","UTAH","DEN","26.6","21.53","5400"
"Kevin Garnett","PF","MIN","MIA","27.6","23.24","4000"
"Jeff Green","SF","MEM","POR","22.9","15.68","4400"
"Raul Neto","PG","UTAH","DEN","26.7","19.67","3500"
"Mason Plumlee","C","POR","MEM","28.6","22.23","5100"
"Karl-Anthony Towns","C","MIN","MIA","25.4","19.69","6600"
"Gorgui Dieng","PF","MIN","MIA","28.6","25.81","4500"
"Emmanuel Mudiay","PG","DEN","UTAH","26.1","18.26","5700"
"Dion Waiters","SG","OKC","CHI","26.4","18.06","4700"
"Mario Chalmers","SG","MIA","MIN","26.5","20.23","3700"
"Randy Foye","SG","DEN","UTAH","23.9","16.47","3500"
"Nicolas Batum","SG","CHA","DAL","28.3","19.48","6600"
"Zach LaVine","PG","MIN","MIA","26.2","17.87","5700"
"D.J. Augustin","PG","OKC","CHI","21.9","15.5","4100"
"Gary Harris","SG","DEN","UTAH","25.4","17.56","4000"
"P.J. Hairston","SF","CHA","DAL","26.3","15.92","3500"
"Tayshaun Prince","SF","MIN","MIA","27.5","16.66","3500"
"Zaza Pachulia","C","DAL","CHA","25.5","20.24","5100"
"Chris Kaman","C","POR","MEM","21.1","18.41","4200"
"Tony Snell","SF","CHI","OKC","26.2","15.3","3600"
"Cody Zeller","C","CHA","DAL","24.1","17.37","3900"
"Juan Jose Barea","PG","DAL","CHA","20.8","14.98","4500"
"Marvin Williams","PF","CHA","DAL","25.4","16.71","4800"
"Doug McDermott","SF","CHI","OKC","21.1","13.46","3900"
"Taj Gibson","PF","CHI","OKC","19.3","15.91","4200"
"Beno Udrih","PG","MEM","POR","19.8","15.02","3900"
"Rudy Gobert","C","UTAH","DEN","26.7","24.1","8100"
"Devin Harris","PG","DAL","CHA","23.9","16.66","4400"
"Brandan Wright","C","MEM","POR","23.7","19.56","4100"
"Meyers Leonard","PF","POR","MEM","25","17.07","4600"
"Jeremy Lamb","SG","CHA","DAL","17.8","13.17","4300"
"Steven Adams","C","OKC","CHI","25.7","19.34","4200"
"Trevor Booker","PF","UTAH","DEN","21.8","16.49","4000"
"Jameer Nelson","PG","DEN","UTAH","24.6","16.13","4700"
"Joe Ingles","SF","UTAH","DEN","21.1","15.13","3600"
"Tyler Johnson","PG","MIA","MIN","21.5","15","3800"
"Chris Andersen","C","MIA","MIN","21.6","18.64","3500"
"Matt Barnes","SF","MEM","POR","24.1","13.87","3600"
"Kyle Singler","SF","OKC","CHI","23.6","12.93","3500"
"John Jenkins","SG","DAL","CHA","16.4","11.08","3800"
"Allen Crabbe","SG","POR","MEM","22.9","12.03","3700"
"Will Barton","SG","DEN","UTAH","18.2","12.66","5000"
"Anthony Morrow","SG","OKC","CHI","18.4","11.02","3800"
"Tony Allen","SF","MEM","POR","23.9","15.78","4700"
"J.J. Hickson","C","DEN","UTAH","17.9","13.99","3900"
"Andre Roberson","SG","OKC","CHI","27.2","17.2","3600"
"Spencer Hawes","PF","CHA","DAL","16","12.92","3600"
"Ed Davis","PF","POR","MEM","22.2","15.76","5000"
"Vince Carter","SF","MEM","POR","16.6","9.73","3500"
"Maurice Harkless","SF","POR","MEM","19.8","11.48","3500"
"Joffrey Lauvergne","C","DEN","UTAH","18.4","13.8","4000"
"Charlie Villanueva","PF","DAL","CHA","12.3","10.77","3500"
"Raymond Felton","PG","DAL","CHA","14.7","10.97","3900"
"Jeff Withey","C","UTAH","DEN","13.6","12.27","3500"
"Joakim Noah","C","CHI","OKC","21.5","16.46","4200"
"Justin Anderson","SF","DAL","CHA","13","9.27","3500"
"Andre Miller","PG","MIN","MIA","16.6","10.95","3500"
"Kirk Hinrich","PG","CHI","OKC","21","11.33","3500"
"Udonis Haslem","PF","MIA","MIN","16.7","11.95","3500"
"Mitch McGary","PF","OKC","CHI","12.1","9.2","3500"
"Nick Collison","C","OKC","CHI","19.1","12.22","3500"
"Frank Kaminsky","PF","CHA","DAL","9.4","6.39","3700"
"Samuel Dalembert","C","DAL","CHA","16.8","10.57","0"
"Justise Winslow","SF","MIA","MIN","10.2","7.04","3600"
"Jeremy Evans","SF","DAL","CHA","10.2","6.89","3500"
"Trey Lyles","PF","UTAH","DEN","6.9","4.64","3500"
"Brian Roberts","PG","CHA","DAL","6.4","3.35","3500"
"Tibor Pleiss","","UTAH","DEN","4.1","3.4","3500"
"E'Twaun Moore","SG","CHI","OKC","5.1","3.27","3500"
"Darrell Arthur","PF","DEN","UTAH","4","2.62","3500"
"Dwight Powell","PF","DAL","CHA","3.3","2.73","4000"
"Josh Richardson","SG","MIA","MIN","3.2","2.42","3500"
