depth,name,team,opp,Minutes,FP,NF FP/ w DEF,FP w/ DEF,FP DEF Av,NF FP,FP/M NF,Season FPM,AVG FPM,FD_salary,DEF ADJ,ActualPTS,Difference,NumFire_Diff,Abs
,,,,,,,,,,,,,,,,0,0,0
PF,Marvin Williams,CHA,DAL,29,15.57337662,30.85375325,27.60537662,21.58937662,10.10752593,0.649025974,0.425,0.537012987,4800,12.032,35.4,19.82662338,25.29247407,25.29247407
PG,Derrick Rose,CHI,OKC,30.5,22.75483277,20.38872109,18.39083277,20.57283277,18.46701734,0.811564626,0.680555556,0.746060091,6900,-4.364,43.5,20.74516723,25.03298266,25.03298266
C,Meyers Leonard,POR,MEM,0,0,-2.236,-2.236,-1.118,0,0.6828,0.416666667,0.549733333,4600,-2.236,23,23,23,23
PF,Trevor Booker,UTAH,DEN,20,12.2240566,18.80011321,15.3260566,13.7750566,9.594731221,0.78490566,0.4375,0.61120283,4000,3.102,31.3,19.0759434,21.70526878,21.70526878
C,Zaza Pachulia,DAL,CHA,28,17.40111111,19.814,14.93511111,16.16811111,13.8463127,0.795714286,0.447222222,0.621468254,5100,-2.466,33,15.59888889,19.1536873,19.1536873
C,Al Jefferson,CHA,DAL,30,25.08362471,25.88791608,20.88762471,22.98562471,25.15378869,1.002797203,0.669444444,0.836120824,7300,-4.196,43.3,18.21637529,18.14621131,18.14621131
PF,Adreian Payne,MIN,MIA,0,0,2.452,2.452,1.226,0,0.568571429,0.369444444,0.469007937,3500,2.452,17.7,17.7,17.7,17.7
PF,Derrick Favors,UTAH,DEN,24,22.15741935,30.13683871,25.25941935,23.70841935,24.95926077,1.126451613,0.72,0.923225806,8000,3.102,8.6,-13.55741935,-16.35926077,16.35926077
SG,Jimmy Butler,CHI,OKC,35.5,28.01820755,34.55608509,32.09787755,30.05804255,24.05336686,0.858490566,0.72,0.789245283,8000,4.07967,39.8,11.78179245,15.74663314,15.74663314
SG,Alec Burks,UTAH,DEN,24,14.94508393,26.23650453,23.22475393,19.08491893,11.1819333,0.748201439,0.497222222,0.622711831,5400,8.27967,26.6,11.65491607,15.4180667,15.4180667
C,Rudy Gobert,UTAH,DEN,31.5,22.12788313,15.09226625,8.801883127,15.46488313,19.96304998,0.902167183,0.502777778,0.70247248,8100,-13.326,35.2,13.07211687,15.23695002,15.23695002
SF,Maurice Harkless,POR,MEM,17,8.481755051,16.62323566,15.24842505,11.86509005,4.917704443,0.57979798,0.418055556,0.498926768,3500,6.76667,19.6,11.11824495,14.68229556,14.68229556
SG,Will Barton,DEN,UTAH,19.5,11.92797619,7.553955714,5.91764619,8.92281119,8.297152669,0.695604396,0.527777778,0.611691087,5000,-6.01033,22.3,10.37202381,14.00284733,14.00284733
SG,Shabazz Muhammad,MIN,MIA,19.4,12.74847222,12.51967,10.46814222,11.60830722,9.725638603,0.762886598,0.551388889,0.657137743,4000,-2.28033,23.7,10.95152778,13.9743614,13.9743614
SF,Al-Farouq Aminu,POR,MEM,31.5,20.13828604,33.17449209,26.90495604,23.52162104,16.88280238,0.838343558,0.440277778,0.639310668,5700,6.76667,30.5,10.36171396,13.61719762,13.61719762
SG,Courtney Lee,MEM,POR,28.5,14.88509695,20.92194723,18.58476695,16.73493195,8.994921621,0.604290429,0.440277778,0.522284103,4000,3.69967,22.4,7.51490305,13.40507838,13.40507838
SF,Nicolas Batum,CHA,DAL,34.5,20.97552083,19.151045,16.19219083,18.58385583,14.55176758,0.69375,0.522222222,0.607986111,6600,-4.78333,27.4,6.42447917,12.84823242,12.84823242
PG,Mike Conley,MEM,POR,31,25.5604542,36.86440841,32.6164542,29.0884542,24.57795026,0.961561562,0.6875,0.824530781,6600,7.056,11.9,-13.6604542,-12.67795026,12.67795026
SG,Dwyane Wade,MIA,MIN,29.5,25.371141,31.70834089,27.560811,26.465976,25.38719868,1.000632911,0.719444444,0.860038678,7100,2.18967,38,12.628859,12.61280132,12.61280132
SF,Nikola Mirotic,CHI,OKC,28,20.51217514,30.78768695,25.55884514,23.03551014,18.85729457,0.919322034,0.545833333,0.732577684,6000,5.04667,6.3,-14.21217514,-12.55729457,12.55729457
SF,Danilo Gallinari,DEN,UTAH,35,22.56777402,24.80694027,20.95444402,21.76110902,17.03561969,0.754864865,0.534722222,0.644793544,6700,-1.61333,29.5,6.93222598,12.46438031,12.46438031
SG,Jeremy Lamb,CHA,DAL,17.5,11.42019741,11.87770371,10.34986741,10.88503241,8.449662915,0.73988764,0.565277778,0.652582709,4300,-1.07033,20.8,9.37980259,12.35033709,12.35033709
SG,Allen Crabbe,POR,MEM,21.5,10.26081241,12.56421148,11.53048241,10.89564741,5.390287043,0.525327511,0.429166667,0.477247089,3700,1.26967,17.7,7.43918759,12.30971296,12.30971296
PF,Taj Gibson,CHI,OKC,19,12.26468048,17.0046943,13.60668048,12.93568048,10.11041795,0.824352332,0.466666667,0.645509499,4200,1.342,22.3,10.03531952,12.18958205,12.18958205
PG,Damian Lillard,POR,MEM,37,29.34797577,32.88084043,29.84397577,29.59597577,25.68728411,0.875265957,0.711111111,0.793188534,8900,0.496,37.7,8.35202423,12.01271589,12.01271589
PF,Ed Davis,POR,MEM,20,12.12687688,13.7501982,11.67887688,11.90287688,8.608990071,0.70990991,0.502777778,0.606343844,5000,-0.448,20.6,8.47312312,11.99100993,11.99100993
SF,Matt Barnes,MEM,POR,19,9.861177386,1.401524772,0.327847386,5.094512386,5.675291715,0.575518672,0.4625,0.519009336,3600,-9.53333,17.5,7.638822614,11.82470829,11.82470829
C,Enes Kanter,OKC,CHI,19,13.14298611,22.81108333,18.95698611,16.04998611,11.75749633,0.894583333,0.488888889,0.691736111,6600,5.814,23.1,9.95701389,11.34250367,11.34250367
C,Mason Plumlee,POR,MEM,36,22.71590909,25.74581818,20.47990909,21.59790909,17.65645661,0.777272727,0.484722222,0.630997475,5100,-2.236,28.9,6.18409091,11.24354339,11.24354339
C,Cody Zeller,CHA,DAL,23.5,13.34828982,12.74155187,9.152289822,11.25028982,9.620738349,0.720746888,0.415277778,0.568012333,3900,-4.196,20.6,7.25171018,10.97926165,10.97926165
