POS,name,team,opp,Minutes,SP FP/M,SP FP,NF FP,NF FP/M,AV FP/M,AV FP,DEF/48,DEF +-/ ,SP w/ DEF,NF w/ DEF,AV w/ DEF,FD_salary
SG,James Harden,HOU,SAC,37.2,,0,44.39,1.19327957,1.19327957,22.195,,1.19327957,44.39,52.96968011,48.67984005,9800
PG,Stephen Curry,GS,DEN,34.2,,0,43.23,1.264035088,,,,#DIV/0!,#DIV/0!,,#DIV/0!,10900
PF,Anthony Davis,NO,ATL,36.9,,0,41.33,1.120054201,,,,#DIV/0!,#DIV/0!,,#DIV/0!,10600
SG,LeBron James,CLE,PHI,36.1,,0,40.72,1.127977839,,,,#DIV/0!,#DIV/0!,,#DIV/0!,10100
PF,DeMarcus Cousins,SAC,HOU,32,,0,39.15,1.2234375,,,,#DIV/0!,#DIV/0!,,#DIV/0!,10300
C,Nikola Vucevic,ORL,TOR,37.4,,0,38.55,1.030748663,,,,#DIV/0!,#DIV/0!,,#DIV/0!,7800
C,Al Horford,ATL,NO,34.9,,0,38.17,1.093696275,,,,#DIV/0!,#DIV/0!,,#DIV/0!,7700
PF,Kevin Love,CLE,PHI,34.8,,0,38.1,1.094827586,,,,#DIV/0!,#DIV/0!,,#DIV/0!,7600
PG,John Wall,WSH,BOS,36.3,,0,36.99,1.019008264,,,,#DIV/0!,#DIV/0!,,#DIV/0!,9500
C,Dwight Howard,HOU,SAC,32.1,,0,36.7,1.143302181,,,,#DIV/0!,#DIV/0!,,#DIV/0!,8300
PF,Chris Bosh,MIA,IND,36.8,,0,36.13,0.981793478,,,,#DIV/0!,#DIV/0!,,#DIV/0!,7900
PF,Paul Millsap,ATL,NO,35,,0,36.04,1.029714286,,,,#DIV/0!,#DIV/0!,,#DIV/0!,7900
SG,DeMar DeRozan,TOR,ORL,37.2,,0,35.53,0.955107527,,,,#DIV/0!,#DIV/0!,,#DIV/0!,8000
SG,Klay Thompson,GS,DEN,33.5,,0,35.12,1.048358209,,,,#DIV/0!,#DIV/0!,,#DIV/0!,6800
C,Brook Lopez,BKN,LAL,32.5,,0,34.92,1.074461538,,,,#DIV/0!,#DIV/0!,,#DIV/0!,7900
C,Greg Monroe,MIL,NY,32.2,,0,34.81,1.081055901,,,,#DIV/0!,#DIV/0!,,#DIV/0!,8300
PG,Kyle Lowry,TOR,ORL,35.8,,0,34.62,0.967039106,,,,#DIV/0!,#DIV/0!,,#DIV/0!,8000
PF,Rudy Gay,SAC,HOU,36.2,,0,34.6,0.955801105,,,,#DIV/0!,#DIV/0!,,#DIV/0!,7700
PG,Jeff Teague,ATL,NO,34.2,,0,34.08,0.996491228,,,,#DIV/0!,#DIV/0!,,#DIV/0!,7400
SF,Carmelo Anthony,NY,MIL,36.4,,0,32.72,0.898901099,,,,#DIV/0!,#DIV/0!,,#DIV/0!,9500
C,Andre Drummond,DET,PHX,30.5,,0,32.36,1.060983607,,,,#DIV/0!,#DIV/0!,,#DIV/0!,9300
SF,Kobe Bryant,LAL,BKN,36.1,,0,32.08,0.888642659,,,,#DIV/0!,#DIV/0!,,#DIV/0!,7500
SG,Victor Oladipo,ORL,TOR,36.1,,0,31.89,0.883379501,,,,#DIV/0!,#DIV/0!,,#DIV/0!,8000
SG,Brandon Knight,PHX,DET,35.3,,0,31.59,0.89490085,,,,#DIV/0!,#DIV/0!,,#DIV/0!,7000
PG,Goran Dragic,MIA,IND,36.2,,0,30.97,0.855524862,,,,#DIV/0!,#DIV/0!,,#DIV/0!,6300
PG,George Hill,IND,MIA,34.6,,0,30.83,0.891040462,,,,#DIV/0!,#DIV/0!,,#DIV/0!,6500
PF,Tobias Harris,ORL,TOR,36,,0,30.71,0.853055556,,,,#DIV/0!,#DIV/0!,,#DIV/0!,6700
PG,Jrue Holiday,NO,ATL,33.1,,0,30.54,0.92265861,,,,#DIV/0!,#DIV/0!,,#DIV/0!,5900
PG,Ty Lawson,HOU,SAC,33.4,,0,30.53,0.914071856,,,,#DIV/0!,#DIV/0!,,#DIV/0!,6800
PG,Eric Bledsoe,PHX,DET,33.1,,0,30.36,0.917220544,,,,#DIV/0!,#DIV/0!,,#DIV/0!,8100
C,Hassan Whiteside,MIA,IND,31.2,,0,30.07,0.963782051,,,,#DIV/0!,#DIV/0!,,#DIV/0!,8000
PG,Reggie Jackson,DET,PHX,31.7,,0,30.02,0.947003155,,,,#DIV/0!,#DIV/0!,,#DIV/0!,8000
