name,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary,Actual,Difference
James Harden,SF,HOU,SAC,37.2,44.39,9800,66.7,22.31
LeBron James,SG,CLE,PHI,36,41.78,10100,57.3,15.52
DeMar DeRozan,SG,TOR,ORL,37.3,35.67,8000,37.4,1.73
Kevin Love,PF,CLE,PHI,35.2,39.19,7600,30.8,-8.39
George Hill,PG,IND,MIA,36,34.97,6500,18,-16.97
Klay Thompson,SG,GS,DEN,31.4,31.12,6800,31.7,0.58
Anthony Davis,PF,NO,ATL,37,41.33,10600,72.5,31.17
Jeff Teague,PG,ATL,NO,34.9,34.4,7400,32.9,-1.5
Carmelo Anthony,SF,NY,MIL,35.7,32.48,9500,25.8,-6.68
Brook Lopez,C,BKN,LAL,32.7,35.99,7900,42.5,6.51
Louis Williams,PG,LAL,BKN,32.6,29.35,5200,17.7,-11.65
Victor Oladipo,SG,ORL,TOR,37.2,33,8000,38.4,5.4
Chris Bosh,PF,MIA,IND,36.7,35.28,7900,41.2,5.92
Goran Dragic,PG,MIA,IND,36.1,31.17,6300,14.4,-16.77
Kyle Lowry,PG,TOR,ORL,36.9,37.09,8000,25,-12.09
Paul George,SF,IND,MIA,37.8,32.85,8500,58.9,26.05
Rudy Gay,PF,SAC,HOU,35,32.65,7700,24,-8.65
John Wall,PG,WSH,BOS,37.4,40.08,9500,35,-5.08
Kobe Bryant,SF,LAL,BKN,35.9,32.12,7500,23.1,-9.02
Al Horford,C,ATL,NO,34.7,38.02,7700,30,-8.02
Greg Monroe,C,MIL,NY,34.6,36.84,8300,19.9,-16.94
Isaiah Thomas,PG,BOS,WSH,31.7,29.95,7300,30.2,0.25
Dwight Howard,C,HOU,SAC,31.9,36.87,8300,0,-36.87
Eric Bledsoe,PG,PHX,DET,34.4,32.14,8100,32.4,0.26
Jordan Clarkson,SG,LAL,BKN,31.9,28.15,6600,23.9,-4.25
Paul Millsap,PF,ATL,NO,34.6,36.29,7900,39.9,3.61
Brandon Knight,SG,PHX,DET,36.1,31.98,7000,32.9,0.92
Monta Ellis,SG,IND,MIA,34.9,28,6300,19.8,-8.2
Khris Middleton,SG,MIL,NY,34.7,28.48,5700,22,-6.48
Evan Fournier,SF,ORL,TOR,36,25.45,5500,12.7,-12.75
Dwyane Wade,SG,MIA,IND,32,29.25,7100,23.2,-6.05
Darren Collison,SG,SAC,HOU,33.2,28.17,5500,36.5,8.33
Andre Drummond,C,DET,PHX,30.5,32.49,9300,35.4,2.91
Ty Lawson,PG,HOU,SAC,33.4,30.88,6800,23,-7.88
Jarrett Jack,PG,BKN,LAL,30.4,27.69,6100,44.4,16.71
Markieff Morris,PF,PHX,DET,32.8,27.13,5800,24.8,-2.33
Jrue Holiday,PG,NO,ATL,32.5,29.49,5900,12.2,-17.29
Joe Johnson,SF,BKN,LAL,32.8,24.13,6100,31.6,7.47
Tobias Harris,PF,ORL,TOR,32.3,26.96,6700,31.8,4.84
Nick Young,SF,LAL,BKN,27.2,22.34,3700,13.2,-9.14
DeMarre Carroll,SF,TOR,ORL,34.5,27.36,6000,12.2,-15.16
Ryan Anderson,PF,NO,ATL,31,24.47,5700,25,0.53
Danilo Gallinari,SF,DEN,GS,29.3,24.71,6700,27.9,3.19
Reggie Jackson,PG,DET,PHX,32.4,29.36,8000,38.7,9.34
C.J. Miles,SF,IND,MIA,29.9,21.6,4700,0,-21.6
Corey Brewer,SF,HOU,SAC,29.5,26.53,4100,7.7,-18.83
Thaddeus Young,PF,BKN,LAL,29.2,23.96,5600,25,1.04
Giannis Antetokounmpo,SF,MIL,NY,31.1,27.16,7000,34.9,7.74
Harrison Barnes,SF,GS,DEN,31,23.55,5000,30.5,6.95
Dennis Schroder,SG,ATL,NO,25,21.96,4600,21.5,-0.46
Marco Belinelli,SG,SAC,HOU,29,20.1,3900,9.2,-10.9
Luol Deng,SF,MIA,IND,32.1,22.96,5300,9.4,-13.56
Jordan Hill,C,IND,MIA,26.9,24.98,4700,22,-2.98
Jared Sullinger,PF,BOS,WSH,27.6,26.91,5200,39.1,12.19
Elfrid Payton,PG,ORL,TOR,31.8,29.6,6700,3.4,-26.2
Langston Galloway,PG,NY,MIL,26,20.37,4800,26.4,6.03
Marcus Morris,SF,DET,PHX,27.5,20.26,5800,33.2,12.94
Eric Gordon,SG,NO,ATL,32.1,22.18,5300,30.4,8.22
Marcin Gortat,C,WSH,BOS,29.8,27.11,6000,34.1,6.99
Kentavious Caldwell-Pope,SG,DET,PHX,31.1,20.49,5000,22.9,2.41
Hassan Whiteside,C,MIA,IND,28,27.34,8000,31.4,4.06
Gary Neal,SG,WSH,BOS,26.4,18.92,3500,1.2,-17.72
Kyle Korver,SG,ATL,NO,31.3,20.35,5200,45.9,25.55
Trevor Ariza,PF,HOU,SAC,33,26.48,5800,32.1,5.62
Kenneth Faried,PF,DEN,GS,27.6,26.4,6900,23.7,-2.7
Avery Bradley,SG,BOS,WSH,29.6,19.79,5800,11,-8.79
