name,pos,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Quincy Acy","PF","SAC","GS","2.8","2.17","3500"
"Alexis Ajinca","C","NO","DAL","15.8","15.21","3500"
"Cole Aldrich","C","LAC","HOU","1.7","1.55","3600"
"LaMarcus Aldridge","PF","SA","CHA","34.8","37.18","8400"
"Tony Allen","SG","MEM","UTAH","22","16.51","4500"
"Ryan Anderson","PF","NO","DAL","29.1","22.1","5700"
"Justin Anderson","SF","DAL","NO","9.1","7.21","3500"
"Kyle Anderson","SF","SA","CHA","1.2","0.79","3500"
"Giannis Antetokounmpo","SG","MIL","BKN","34.6","29.42","7000"
"Trevor Ariza","SF","HOU","LAC","34.1","24.25","5800"
"Chris Babb","SG","GS","SAC","0.1","0","0"
"Luke Babbitt","SF","NO","DAL","25.7","15.45","3600"
"Cameron Bairstow","PF","CHI","MIN","1.6","1.01","3500"
"Leandro Barbosa","SG","GS","SAC","17.6","13.74","3700"
"Andrea Bargnani","C","BKN","MIL","15","12.87","3700"
"Harrison Barnes","SF","GS","SAC","32.9","24.46","5000"
"Matt Barnes","SF","MEM","UTAH","19.5","11.37","3600"
"Nicolas Batum","SF","CHA","SA","33.4","22.49","6600"
"Jerryd Bayless","PG","MIL","BKN","27","17.15","3500"
"Kent Bazemore","SG","ATL","WSH","28.2","18.2","4800"
"Marco Belinelli","SG","SAC","GS","25.4","15.67","3900"
"Patrick Beverley","PG","HOU","LAC","0","0","3600"
"Nemanja Bjelica","SF","MIN","CHI","0.1","0.1","3600"
"Bojan Bogdanovic","SF","BKN","MIL","22.3","12.62","3900"
"Andrew Bogut","C","GS","SAC","0","0","5400"
"Matt Bonner","C","SA","CHA","1.9","0.99","3500"
"Trevor Booker","PF","UTAH","MEM","22.4","16.67","4200"
"Corey Brewer","SF","HOU","LAC","25.4","19.69","4100"
"Aaron Brooks","PG","CHI","MIN","21.8","19.02","4100"
"Markel Brown","SG","BKN","MIL","11.2","6.83","3500"
"Trey Burke","PG","UTAH","MEM","22","13.65","5200"
"Alec Burks","SG","UTAH","MEM","33.4","22.08","5500"
"Jimmy Butler","SG","CHI","MIN","36.6","33.95","8100"
"Caron Butler","SF","SAC","GS","20.2","11.73","3500"
"Isaiah Canaan","PG","PHI","ORL","21.1","13.92","4900"
"Clint Capela","C","HOU","LAC","19.7","19.23","4500"
"Vince Carter","SF","MEM","UTAH","17","11.02","3500"
"Omri Casspi","SF","SAC","GS","22.9","17.64","3900"
"Willie Cauley-Stein","C","SAC","GS","25.5","19.37","4900"
"Darren Collison","PG","SAC","GS","31.3","26.53","5500"
"Mike Conley","PG","MEM","UTAH","33.5","29.97","6300"
"Jack Cooley","C","UTAH","MEM","2","1.25","0"
"Chris Copeland","SF","MIL","BKN","14.8","9.64","3500"
"DeMarcus Cousins","C","SAC","GS","0","0","10300"
"Jamal Crawford","SG","LAC","HOU","18.9","15.93","4800"
"Dante Cunningham","PF","NO","DAL","24.8","13.1","4000"
"Stephen Curry","PG","GS","SAC","34.9","42.79","10900"
"Seth Curry","SG","SAC","GS","0.1","0","3500"
"Troy Daniels","SG","CHA","SA","4","2.48","3500"
"Anthony Davis","PF","NO","DAL","38.7","41.24","10600"
"Branden Dawson","PF","LAC","HOU","1.2","0.91","3500"
"Dewayne Dedmon","C","ORL","PHI","24.8","21.54","3700"
"Sam Dekker","SF","HOU","LAC","0.1","0","3500"
"Boris Diaw","PF","SA","CHA","17.5","12.91","3900"
"Gorgui Dieng","C","MIN","CHI","23.9","22.44","4500"
"Jared Dudley","SF","WSH","ATL","17.1","9.92","3700"
"Tim Duncan","C","SA","CHA","29.1","33.15","7000"
"Wayne Ellington","SG","BKN","MIL","13.2","7.73","3600"
"Tyler Ennis","PG","MIL","BKN","23.8","16.36","3500"
"Jeremy Evans","PF","DAL","NO","10.7","7.48","3500"
"Festus Ezeli","C","GS","SAC","25.3","22.41","3800"
"Derrick Favors","PF","UTAH","MEM","32.2","31.44","7700"
"Raymond Felton","PG","DAL","NO","21.4","15.67","3700"
"Evan Fournier","SG","ORL","PHI","32.5","26.42","5500"
"Channing Frye","PF","ORL","PHI","5.7","3.77","3600"
"Kevin Garnett","PF","MIN","CHI","17.3","13.27","3800"
"Pau Gasol","PF","CHI","MIN","30.2","33","7600"
"Marc Gasol","C","MEM","UTAH","33.3","34.5","7200"
"Rudy Gay","SF","SAC","GS","33","30.12","7700"
"Alonzo Gee","SF","NO","DAL","5.7","3.81","3500"
"Taj Gibson","PF","CHI","MIN","21.1","17.37","4300"
"Manu Ginobili","SG","SA","CHA","21.7","18.66","4600"
"Rudy Gobert","C","UTAH","MEM","33.5","25.13","7900"
"Drew Gooden","PF","WSH","ATL","2.6","1.85","3600"
"Aaron Gordon","PF","ORL","PHI","18.1","13.82","4100"
"Eric Gordon","SG","NO","DAL","35.6","26.45","5300"
"Marcin Gortat","C","WSH","ATL","29.5","23.66","6000"
"Jerami Grant","PF","PHI","ORL","23.9","19.14","4100"
"Draymond Green","PF","GS","SAC","33.9","31.73","7600"
"Danny Green","SG","SA","CHA","30.5","21.18","4200"
"Jeff Green","SF","MEM","UTAH","23.5","14.98","4200"
"JaMychal Green","PF","MEM","UTAH","1.9","1.23","3700"
"P.J. Hairston","SF","CHA","SA","21","11.73","3500"
"Tyler Hansbrough","PF","CHA","SA","2.8","2.19","3500"
"Tim Hardaway Jr.","SG","ATL","WSH","6.3","4.71","3900"
"James Harden","SG","HOU","LAC","38.5","38.66","9800"
"Montrezl Harrell","PF","HOU","LAC","8.7","7.02","3500"
"Tobias Harris","SF","ORL","PHI","35.7","31.51","6700"
"Devin Harris","SG","DAL","NO","22.5","17.79","4100"
"Spencer Hawes","C","CHA","SA","19","13.72","3500"
"Gordon Hayward","SF","UTAH","MEM","36.5","32.95","6600"
"John Henson","PF","MIL","BKN","16.3","13.05","4400"
"Mario Hezonja","SF","ORL","PHI","17.9","13.02","3500"
"Nene Hilario","PF","WSH","ATL","19.6","14.9","4100"
"Justin Holiday","SG","ATL","WSH","2.6","1.46","3600"
"Rondae Hollis-Jefferson","SF","BKN","MIL","18.1","12.1","3500"
"Richaun Holmes","PF","PHI","ORL","2","1.31","3500"
"Rodney Hood","SG","UTAH","MEM","29.2","19.36","4400"
"Al Horford","C","ATL","WSH","34","36.51","7700"
