Name,Position,Team,Opp,RG_def_pos_pts_48,NF_Min,FD_FP,FD_FS
Alexis Ajinca,C,NO,DAL,0.958458,15.8,15.21,3500
Cole Aldrich,C,LAC,HOU,0.961215,1.7,1.55,3600
LaMarcus Aldridge,PF,SA,CHA,0.945625,34.8,37.18,8400
Ryan Anderson,PF,NO,DAL,1.13583,29.1,22.1,5700
Kyle Anderson,SF,SA,CHA,0.65,1.2,0.79,3500
Giannis Antetokounmpo,SG,MIL,BKN,0.78934,34.6,29.42,7000
Trevor Ariza,SF,HOU,LAC,0.72925,34.1,24.25,5800
Chris Babb,SG,GS,SAC,0.815208,0.1,0,0
Luke Babbitt,SF,NO,DAL,0.711979,25.7,15.45,3600
Cameron Bairstow,PF,CHI,MIN,0.774792,1.6,1.01,3500
Leandro Barbosa,SG,GS,SAC,0.815208,17.6,13.74,3700
Andrea Bargnani,C,BKN,MIL,0.915069,15,12.87,3700
Harrison Barnes,SF,GS,SAC,0.664167,32.9,24.46,5000
Jerryd Bayless,PG,MIL,BKN,0.913125,27,17.15,3500
Patrick Beverley,PG,HOU,LAC,0.944792,0,0,3600
Nemanja Bjelica,SF,MIN,CHI,1.04351,0.1,0.1,3600
Bojan Bogdanovic,SF,BKN,MIL,0.747833,22.3,12.62,3900
Andrew Bogut,C,GS,SAC,1.14504,0,0,5400
Matt Bonner,C,SA,CHA,0.944708,1.9,0.99,3500
Trevor Booker,PF,UTAH,MEM,0.916354,22.4,16.67,4200
Corey Brewer,SF,HOU,LAC,0.72925,25.4,19.69,4100
Aaron Brooks,PG,CHI,MIN,0.765781,21.8,19.02,4100
Markel Brown,SG,BKN,MIL,0.73401,11.2,6.83,3500
Trey Burke,PG,UTAH,MEM,0.921181,22,13.65,5200
Alec Burks,SG,UTAH,MEM,0.796285,33.4,22.08,5500
Jimmy Butler,SG,CHI,MIN,0.814375,36.6,33.95,8100
Isaiah Canaan,PG,PHI,ORL,0.957569,21.1,13.92,4900
Clint Capela,C,HOU,LAC,1.05267,19.7,19.23,4500
Jack Cooley,C,UTAH,MEM,0.889306,2,1.25,0
Chris Copeland,SF,MIL,BKN,0.8175,14.8,9.64,3500
Jamal Crawford,SG,LAC,HOU,0.78809,18.9,15.93,4800
Dante Cunningham,PF,NO,DAL,1.13583,24.8,13.1,4000
Stephen Curry,PG,GS,SAC,0.92,34.9,42.79,10900
Anthony Davis,PF,NO,DAL,1.13583,38.7,41.24,10600
Branden Dawson,PF,LAC,HOU,1.11639,1.2,0.91,3500
Dewayne Dedmon,C,ORL,PHI,1.01937,24.8,21.54,3700
Sam Dekker,SF,HOU,LAC,0.72925,0.1,0,3500
Boris Diaw,PF,SA,CHA,0.945625,17.5,12.91,3900
Gorgui Dieng,C,MIN,CHI,1.03517,23.9,22.44,4500
Jared Dudley,SF,WSH,ATL,0.775536,17.1,9.92,3700
Tim Duncan,C,SA,CHA,0.944708,29.1,33.15,7000
Wayne Ellington,SG,BKN,MIL,0.73401,13.2,7.73,3600
Tyler Ennis,PG,MIL,BKN,0.913125,23.8,16.36,3500
Festus Ezeli,C,GS,SAC,1.14504,25.3,22.41,3800
Derrick Favors,PF,UTAH,MEM,0.916354,32.2,31.44,7700
Evan Fournier,SG,ORL,PHI,0.608437,32.5,26.42,5500
Channing Frye,PF,ORL,PHI,0.994042,5.7,3.77,3600
Kevin Garnett,PF,MIN,CHI,0.791667,17.3,13.27,3800
Pau Gasol,PF,CHI,MIN,0.774792,30.2,33,7600
Alonzo Gee,SF,NO,DAL,0.711979,5.7,3.81,3500
Taj Gibson,PF,CHI,MIN,0.774792,21.1,17.37,4300
Manu Ginobili,SG,SA,CHA,0.772375,21.7,18.66,4600
Rudy Gobert,C,UTAH,MEM,0.889306,33.5,25.13,7900
Drew Gooden,PF,WSH,ATL,0.928036,2.6,1.85,3600
Aaron Gordon,PF,ORL,PHI,0.994042,18.1,13.82,4100
Eric Gordon,SG,NO,DAL,0.724792,35.6,26.45,5300
Marcin Gortat,C,WSH,ATL,1.0689,29.5,23.66,6000
Jerami Grant,PF,PHI,ORL,0.891285,23.9,19.14,4100
Draymond Green,PF,GS,SAC,1.04837,33.9,31.73,7600
Danny Green,SG,SA,CHA,0.772375,30.5,21.18,4200
James Harden,SG,HOU,LAC,0.748542,38.5,38.66,9800
Montrezl Harrell,PF,HOU,LAC,0.926125,8.7,7.02,3500
Tobias Harris,SF,ORL,PHI,0.954458,35.7,31.51,6700
Gordon Hayward,SF,UTAH,MEM,0.913333,36.5,32.95,6600
John Henson,PF,MIL,BKN,0.874028,16.3,13.05,4400
Mario Hezonja,SF,ORL,PHI,0.954458,17.9,13.02,3500
Nene Hilario,PF,WSH,ATL,0.928036,19.6,14.9,4100
Rondae Hollis-Jefferson,SF,BKN,MIL,0.747833,18.1,12.1,3500
Richaun Holmes,PF,PHI,ORL,0.891285,2,1.31,3500
Rodney Hood,SG,UTAH,MEM,0.796285,29.2,19.36,4400
Dwight Howard,C,HOU,LAC,1.05267,0,0,8300
Kris Humphries,PF,WSH,ATL,0.928036,23.9,19.39,3900
Andre Iguodala,SF,GS,SAC,0.664167,27.1,20.16,4600
Joe Ingles,SF,UTAH,MEM,0.913333,19,11.1,3600
Damien Inglis,SF,MIL,BKN,0.8175,2.6,1.78,3500
Jarrett Jack,PG,BKN,MIL,0.87375,31.3,25.54,6100
Pierre Jackson,PG,PHI,ORL,0.957569,2.1,1.66,0
Joe Johnson,SG,BKN,MIL,0.73401,34,22.58,6100
Wesley Johnson,SF,LAC,HOU,0.912882,9.1,5.82,4000
Chris Johnson,SG,UTAH,MEM,0.796285,2.2,1.21,3500
Terrence Jones,PF,HOU,LAC,0.926125,0,0,5700
DeAndre Jordan,C,LAC,HOU,0.961215,35.1,34.17,8000
Sergey Karasev,SF,BKN,MIL,0.747833,0.2,0.1,3500
Sean Kilpatrick,SG,NO,DAL,0.724792,2.3,1.36,0
Shane Larkin,PG,BKN,MIL,0.87375,21.6,14.04,4100
Zach LaVine,SG,MIN,CHI,0.691701,24,16.63,5400
Ty Lawson,PG,HOU,LAC,0.944792,36.8,33.9,6800
Kawhi Leonard,SF,SA,CHA,0.65,36.6,39.56,8200
Shaun Livingston,PG,GS,SAC,0.92,21.7,16.8,3600
Brook Lopez,C,BKN,MIL,0.915069,33.1,33.71,7900
Trey Lyles,PF,UTAH,MEM,0.916354,5.8,3.65,3500
Roy Devyn Marble,SG,ORL,PHI,0.608437,14.7,7.65,3500
Boban Marjanovic,C,SA,CHA,0.944708,4.6,3.32,3500
Kevin Martin,SG,MIN,CHI,0.691701,30.1,23.04,5000
James Michael McAdoo,PF,GS,SAC,1.04837,3,2.81,3500
Ray McCallum,PG,SA,CHA,0.734417,18.9,13.97,3500
T.J. McConnell,PG,PHI,ORL,0.957569,29.6,22.42,4200
K.J. McDaniels,SF,HOU,LAC,0.72925,0.1,0,3500
Doug McDermott,SF,CHI,MIN,0.602569,23.7,16.22,3800
Khris Middleton,SF,MIL,BKN,0.8175,33.2,25.1,5700
Andre Miller,PG,MIN,CHI,0.935625,15.3,11.81,3500
Patrick Mills,PG,SA,CHA,0.734417,22.8,16.54,3500
Elijah Millsap,SF,UTAH,MEM,0.913333,2,1.16,3500
Nikola Mirotic,SF,CHI,MIN,0.602569,30.5,30.72,5900
Greg Monroe,C,MIL,BKN,0.91309,34.8,35.78,8300
E'Twaun Moore,PG,CHI,MIN,0.765781,2.7,1.41,3500
Donatas Motiejunas,PF,HOU,LAC,0.926125,0,0,6400
Shabazz Muhammad,SF,MIN,CHI,1.04351,19.1,14.53,4100
Shabazz Napier,PG,ORL,PHI,0.916667,12.8,9.15,3500
Gary Neal,SG,WSH,ATL,0.749306,16.3,11.76,3500
Raul Neto,PG,UTAH,MEM,0.921181,16,11.13,3500
Andrew Nicholson,PF,ORL,PHI,0.994042,2,1.65,3500
Joakim Noah,C,CHI,MIN,0.99526,23.4,18.43,4200
Nerlens Noel,PF,PHI,ORL,0.891285,35.4,30.97,7500
Jahlil Okafor,C,PHI,ORL,0.876667,33.4,26.86,5800
Victor Oladipo,SG,ORL,PHI,0.608437,38.1,35.79,8000
Kelly Oubre,SF,WSH,ATL,0.775536,1.9,1.01,3500
Jabari Parker,PF,MIL,BKN,0.874028,18.7,13.77,5900
