pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
"PF","Adreian Payne","2015-11-16","MIN","MEM","3500","12.9","19","2","5.17","20.63","12.9"
"C","Al Horford","2015-11-16","ATL","UTA","7800","34.88","44.1","26.7","29.41","40.35","34.88"
"C","Al Jefferson","2015-11-16","CHA","POR","6600","25.31","43.3","13","17.16","33.46","25.31"
"SF","Al-Farouq Aminu","2015-11-16","POR","CHA","5900","26.32","33.1","19.3","21.86","30.78","26.32"
"SG","Alec Burks","2015-11-16","UTA","ATL","5400","23.54","31.1","12.2","17.03","30.06","23.545"
"C","Alexis Ajinca","2015-11-16","NOP","NYK","3600","11.38","21.8","4.4","6.03","16.73","11.38"
"SG","Allen Crabbe","2015-11-16","POR","CHA","3600","12.93","23.4","4.6","7.59","18.27","12.93"
"SF","Alonzo Gee","2015-11-16","NOP","NYK","3500","9.03","18.5","1.2","3.29","14.78","9.035"
"C","Amir Johnson","2015-11-16","BOS","OKC","5200","20.01","45.6","6.3","8.38","31.64","20.01"
"C","Andre Drummond","2015-11-16","DET","LAL","9700","47.07","70.4","33.4","34.94","59.19","47.065"
"PG","Andre Miller","2015-11-16","MIN","MEM","3700","11.48","21.3","2.5","2.94","20.01","11.475"
"SG","Andre Roberson","2015-11-16","OKC","BOS","3500","11.22","20.9","0.4","5.58","16.86","11.22"
"SF","Andrew Wiggins","2015-11-16","MIN","MEM","7100","26.86","44","8.2","16.44","37.29","26.865"
"PF","Anthony Bennett","2015-11-16","TOR","SAC","3500","4.23","7.2","0.2","1.93","6.54","4.235"
"SF","Anthony Brown","2015-11-16","LAL","DET","3500","3.5","5","2","2","5","3.5"
"PF","Anthony Davis","2015-11-16","NOP","NYK","10700","43.37","72.5","29.2","29.69","57.06","43.375"
"SG","Anthony Morrow","2015-11-16","OKC","BOS","3500","8.28","15.2","1","3.22","13.35","8.285"
"PF","Anthony Tolliver","2015-11-16","DET","LAL","3600","10.56","19.8","0.2","3.92","17.21","10.565"
"C","Aron Baynes","2015-11-16","DET","LAL","3500","8.78","12.7","3.2","5.7","11.85","8.775"
"SG","Arron Afflalo","2015-11-16","NYK","NOP","4700","22.15","23.6","20.7","20.7","23.6","22.15"
"SG","Avery Bradley","2015-11-16","BOS","OKC","5500","18.6","31.5","7.1","9.17","28.03","18.6"
"SG","Ben McLemore","2015-11-16","SAC","TOR","3600","10.39","24.8","1.2","2.93","17.84","10.385"
"C","Bismack Biyombo","2015-11-16","TOR","SAC","4000","15.44","28","9.2","10.63","20.25","15.44"
"C","Brandan Wright","2015-11-16","MEM","MIN","3700","14.11","28.7","2","6.41","21.82","14.115"
"PF","Brandon Bass","2015-11-16","LAL","DET","3800","12.1","24.5","3.2","5.71","18.49","12.1"
"PG","Brian Roberts","2015-11-16","CHA","POR","3500","3.22","7.7","1","0.71","5.73","3.22"
"SG","C.J. McCollum","2015-11-16","POR","CHA","6500","29.55","47.7","21.2","22.35","36.75","29.55"
"PG","Cameron Payne","2015-11-16","OKC","BOS","3500","3","6.5","-1","-0.08","6.08","3"
"SF","Carmelo Anthony","2015-11-16","NYK","NOP","9400","37.27","51.4","25.8","29.99","44.55","37.27"
"SF","Caron Butler","2015-11-16","SAC","TOR","3500","6.63","15.8","1","1.13","12.13","6.63"
"SG","Chris Johnson","2015-11-16","UTA","ATL","3500","4.92","9.5","2","2.03","7.81","4.92"
"C","Chris Kaman","2015-11-16","POR","CHA","3900","14.3","14.3","14.3","14.3","14.3","14.3"
"SF","Cleanthony Early","2015-11-16","NYK","NOP","3500","4.3","6.7","1.2","2","6.6","4.3"
"PF","Cody Zeller","2015-11-16","CHA","POR","4200","17.86","25.7","9.4","12.18","23.54","17.86"
"PG","Cory Joseph","2015-11-16","TOR","SAC","4100","17.62","32.2","3.9","9.53","25.71","17.62"
"SG","Courtney Lee","2015-11-16","MEM","MIN","4000","17.6","22.4","10.9","13.62","21.58","17.6"
"PG","D'Angelo Russell","2015-11-16","LAL","DET","5100","19.22","26.7","7.6","13.51","24.93","19.22"
"PG","D.J. Augustin","2015-11-16","OKC","BOS","3500","13.9","21.9","0.5","7.66","20.14","13.9"
"PG","Damian Lillard","2015-11-16","POR","CHA","9100","39.9","50.9","27.1","33.12","46.68","39.9"
"SF","Damjan Rudez","2015-11-16","MIN","MEM","3500","2.28","5.7","-1","-0.2","4.75","2.275"
"PF","Dante Cunningham","2015-11-16","NOP","NYK","3500","11.01","15.7","5.6","7.79","14.23","11.01"
"PG","Darren Collison","2015-11-16","SAC","TOR","5500","24.65","36.5","19.2","18.94","30.36","24.65"
"PF","David Lee","2015-11-16","BOS","OKC","4700","15.81","26.5","6.6","9.16","22.46","15.81"
"PG","Delon Wright","2015-11-16","TOR","SAC","3500","1.27","2.4","0.2","0.37","2.17","1.27"
"SG","DeMar DeRozan","2015-11-16","TOR","SAC","7600","32.75","42","15.7","23.61","41.89","32.75"
"C","DeMarcus Cousins","2015-11-16","SAC","TOR","10500","42.9","58.1","25.3","33.31","52.49","42.9"
"SF","DeMarre Carroll","2015-11-16","TOR","SAC","5900","21.61","31.6","12.2","13.87","29.35","21.61"
"PG","Dennis Schroder","2015-11-16","ATL","UTA","4600","20.54","32.6","8.9","14.42","26.65","20.535"
"PF","Derrick Favors","2015-11-16","UTA","ATL","8300","34.71","61.4","8.6","20.81","48.61","34.71"
"PF","Derrick Williams","2015-11-16","NYK","NOP","3700","13.75","33.9","2","5.32","22.18","13.75"
"SG","Dion Waiters","2015-11-16","OKC","BOS","4800","18.71","30","10.5","12.61","24.81","18.71"
"PF","Ed Davis","2015-11-16","POR","CHA","4700","19.03","27.7","8.9","12.42","25.64","19.03"
"SF","Elijah Millsap","2015-11-16","UTA","ATL","3500","5.22","16.3","1","-0.38","10.82","5.22"
"C","Enes Kanter","2015-11-16","OKC","BOS","6200","23.76","34.2","17.2","18.37","29.14","23.755"
"SG","Eric Gordon","2015-11-16","NOP","NYK","6000","28.49","36.1","18.8","23.22","33.76","28.49"
"PF","Eric Moreland","2015-11-16","SAC","TOR","3500","2.53","5.2","1.2","0.65","4.42","2.535"
"PF","Ersan Ilyasova","2015-11-16","DET","LAL","4300","15.2","27.9","6.9","8.71","21.69","15.2"
"SF","Evan Turner","2015-11-16","BOS","OKC","5800","21.19","35","10.3","11.66","30.71","21.185"
"PF","Frank Kaminsky","2015-11-16","CHA","POR","3500","8.05","16.1","-1","2.31","13.79","8.05"
"SG","Gerald Henderson","2015-11-16","POR","CHA","4700","9.3","14.4","4.2","4.2","14.4","9.3"
"SF","Gordon Hayward","2015-11-16","UTA","ATL","6800","26.28","39.7","14.5","19.15","33.41","26.28"
"C","Gorgui Dieng","2015-11-16","MIN","MEM","4000","14.01","20.2","4.2","8.75","19.27","14.01"
"PG","Isaiah Thomas","2015-11-16","BOS","OKC","7200","32.84","46","21.6","23.91","41.76","32.835"
"PG","Ish Smith","2015-11-16","NOP","NYK","5700","27.48","40.6","7.9","17.02","37.93","27.475"
"SF","Jae Crowder","2015-11-16","BOS","OKC","5000","25.88","38","17.3","19.36","32.39","25.875"
"SG","James Anderson","2015-11-16","SAC","TOR","3500","6.56","19","1","0.84","12.27","6.555"
"SF","James Ennis","2015-11-16","MEM","MIN","3500","1.5","1.5","1.5","1.5","1.5","1.5"
"SF","James Johnson","2015-11-16","TOR","SAC","3800","12.34","21.1","-1","2.84","21.84","12.34"
"PF","JaMychal Green","2015-11-16","MEM","MIN","3500","13.13","25.4","5.9","7.1","19.16","13.13"
"PF","Jared Sullinger","2015-11-16","BOS","OKC","5600","27.51","39.1","14.1","20.67","34.35","27.51"
"SF","Jeff Green","2015-11-16","MEM","MIN","3800","13.37","27","0.4","5.1","21.64","13.37"
"PG","Jeff Teague","2015-11-16","ATL","UTA","7200","31.31","45.7","12.3","21.91","40.71","31.31"
"C","Jeff Withey","2015-11-16","UTA","ATL","3600","22.4","22.4","22.4","22.4","22.4","22.4"
"SG","Jeremy Lamb","2015-11-16","CHA","POR","4500","21.5","32.3","6.8","14.5","28.5","21.5"
"PG","Jeremy Lin","2015-11-16","CHA","POR","4700","20.28","28","10.7","14.54","26.01","20.275"
"PG","Jerian Grant","2015-11-16","NYK","NOP","3900","15.64","24.7","10.2","11.05","20.23","15.64"
"SG","Jimmer Fredette","2015-11-16","NOP","NYK","3500","4","4","4","4","4","4"
"SG","Jodie Meeks","2015-11-16","DET","LAL","3600","3.4","3.4","3.4","3.4","3.4","3.4"
"SF","Joe Ingles","2015-11-16","UTA","ATL","3500","10.29","18.6","4.4","5.7","14.88","10.29"
"PF","Jonas Jerebko","2015-11-16","BOS","OKC","3500","8.79","15.1","3.4","4.65","12.93","8.79"
"C","Jonas Valanciunas","2015-11-16","TOR","SAC","6400","28.44","39","19","23.37","33.51","28.44"
"SG","Jordan Adams","2015-11-16","MEM","MIN","3500","8.95","11.9","6","6","11.9","8.95"
"PG","Jordan Clarkson","2015-11-16","LAL","DET","6000","22.58","38.6","11.9","13.45","31.71","22.58"
"PF","Jordan Mickey","2015-11-16","BOS","OKC","3500","6.05","6.2","5.9","5.9","6.2","6.05"
"PG","Jose Calderon","2015-11-16","NYK","NOP","4500","14.37","27.5","6.7","7.85","20.89","14.37"
"PG","Jrue Holiday","2015-11-16","NOP","NYK","5800","21.15","29.4","12.2","15.08","27.22","21.15"
"PF","Julius Randle","2015-11-16","LAL","DET","5800","26.08","54","1.9","13.28","38.87","26.075"
"SG","Justin Holiday","2015-11-16","ATL","UTA","3500","7.94","19.2","1.2","2","13.87","7.935"
"C","Karl-Anthony Towns","2015-11-16","MIN","MEM","6900","33.4","54.8","18.3","21.68","45.12","33.4"
"C","Kelly Olynyk","2015-11-16","BOS","OKC","3700","16.84","40.4","5.4","5.47","28.21","16.84"
"PG","Kemba Walker","2015-11-16","CHA","POR","7000","29.44","42.3","17.9","21.77","37.12","29.445"
"C","Kendrick Perkins","2015-11-16","NOP","NYK","3500","9.53","16.3","3.5","4.28","14.78","9.53"
"SG","Kent Bazemore","2015-11-16","ATL","UTA","5000","23.25","38.3","5.9","13.96","32.55","23.255"
"SG","Kentavious Caldwell-Pope","2015-11-16","DET","LAL","5100","22.52","27.8","15.2","17.96","27.09","22.525"
"PF","Kevin Garnett","2015-11-16","MIN","MEM","3500","10.39","17.4","2.4","5.02","15.75","10.385"
"SG","Kevin Martin","2015-11-16","MIN","MEM","4800","19.49","28.8","3.7","11.91","27.06","19.485"
"PF","Kevin Seraphin","2015-11-16","NYK","NOP","3500","4.07","8.6","1.2","1.47","6.66","4.065"
"SG","Kobe Bryant","2015-11-16","LAL","DET","7200","24.67","34.3","19.3","20.24","29.1","24.67"
"C","Kosta Koufos","2015-11-16","SAC","TOR","4100","19.9","29.4","8.6","13.8","26","19.9"
"PF","Kristaps Porzingis","2015-11-16","NYK","NOP","5500","25.31","39.3","13.7","17.86","32.76","25.31"
"SG","Kyle Korver","2015-11-16","ATL","UTA","4900","19.07","45.9","8.9","8.25","29.89","19.07"
"PG","Kyle Lowry","2015-11-16","TOR","SAC","8600","38.37","54","22.3","29.05","47.69","38.37"
"C","Kyle O'Quinn","2015-11-16","NYK","NOP","4000","16.24","30.7","-1","7.38","25.1","16.24"
"SF","Kyle Singler","2015-11-16","OKC","BOS","3500","6.49","12.6","-1","1.75","11.22","6.485"
"SG","Lamar Patterson","2015-11-16","ATL","UTA","3500","7.98","12.9","3.2","4.27","11.69","7.98"
"SF","Lance Thomas","2015-11-16","NYK","NOP","3500","8.89","20.6","0.2","2.3","15.48","8.89"
"SG","Langston Galloway","2015-11-16","NYK","NOP","4600","20.6","31.4","4","13.43","27.77","20.6"
"PF","Larry Nance","2015-11-16","LAL","DET","3500","10.78","18.1","8","6.97","14.59","10.78"
"PF","Lou Amundson","2015-11-16","NYK","NOP","3500","10.83","19.3","2","3.77","17.9","10.835"
"SG","Louis Williams","2015-11-16","LAL","DET","5100","21.77","41","14.7","14.25","29.28","21.765"
