name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"PF","Quincy Acy","SAC","MIA","0.858271","4.1","2.44","3500"
"C","Chris Andersen","MIA","SAC","1.06148","2.7","2.08","3500"
"SG","James Anderson","SAC","MIA","0.666806","2.1","1.31","3500"
"SG","Giannis Antetokounmpo","MIL","CLE","0.759299","34.4","29.06","6900"
"SG","Chris Babb","GS","LAC","0.852583","0.1","0","0"
"SG","Leandro Barbosa","GS","LAC","0.852583","10.9","7.94","3600"
"PG","Jerryd Bayless","MIL","CLE","0.796061","32.6","26.94","4400"
"SG","Marco Belinelli","SAC","MIA","0.666806","31","20.76","3800"
"C","Andrew Bogut","GS","LAC","1.01348","22.3","19.99","5200"
"PF","Chris Bosh","MIA","SAC","0.964562","33.6","34.66","7900"
"PG","Michael Carter-Williams","MIL","CLE","0.796061","32.9","30.69","6600"
"C","Willie Cauley-Stein","SAC","MIA","0.934144","21.1","14.85","4200"
"PG","Darren Collison","SAC","MIA","0.71825","33.9","27.98","5500"
"SF","Chris Copeland","MIL","CLE","0.760265","1.6","0.91","3500"
"C","DeMarcus Cousins","SAC","MIA","0.934144","34.3","37","10700"
"SG","Jared Cunningham","CLE","MIL","0.707311","2.3","1.46","3500"
"PG","Stephen Curry","GS","LAC","0.82625","37.9","41.75","11000"
"SG","Seth Curry","SAC","MIA","0.666806","0.1","0","3500"
"PG","Matthew Dellavedova","CLE","MIL","0.808864","27","15.99","4000"
"PG","Goran Dragic","MIA","SAC","0.852208","33.6","28.77","5700"
"PG","Tyler Ennis","MIL","CLE","0.796061","16","9.76","3500"
"C","Festus Ezeli","GS","LAC","1.01348","21.5","19.66","4300"
"PF","Draymond Green","GS","LAC","0.874141","34","33.51","7900"
"SG","Gerald Green","MIA","SAC","0.824167","26.9","20","3500"
"SG","Joe Harris","CLE","MIL","0.707311","0.1","0","3500"
"PF","Udonis Haslem","MIA","SAC","0.964562","2.5","1.89","3500"
"PF","John Henson","MIL","CLE","0.805","15.1","11.09","4000"
"SF","Damien Inglis","MIL","CLE","0.760265","3","1.9","3500"
"SF","LeBron James","CLE","MIL","0.822633","36.7","42.06","10100"
"SF","Richard Jefferson","CLE","MIL","0.822633","24.1","14.06","3500"
"PG","Tyler Johnson","MIA","SAC","0.852208","23.9","17.81","3800"
"SF","James Jones","CLE","MIL","0.822633","1.6","0.77","3500"
"C","Sasha Kaun","CLE","MIL","0.909981","0.1","0","3500"
"C","Kosta Koufos","SAC","MIA","0.934144","26","22.06","3800"
"PG","Shaun Livingston","GS","LAC","0.82625","22.8","16.12","3500"
"PF","Kevin Love","CLE","MIL","0.966155","36.6","35.24","7800"
"SG","O.J. Mayo","MIL","CLE","0.759299","21.3","16.55","3800"
"PF","James Michael McAdoo","GS","LAC","0.874141","1.4","1.25","3500"
"SG","Ben McLemore","SAC","MIA","0.666806","20.1","12.3","3600"
"PF","Josh McRoberts","MIA","SAC","0.964562","2.5","1.59","3500"
"SF","Khris Middleton","MIL","CLE","0.760265","35.6","25.5","5600"
"C","Greg Monroe","MIL","CLE","0.847557","35.2","33.58","7800"
"C","Timofey Mozgov","CLE","MIL","0.909981","26.2","20.31","4300"
"PF","Jabari Parker","MIL","CLE","0.805","27.1","20.89","5600"
"C","Miles Plumlee","MIL","CLE","0.847557","5.4","3.53","3500"
"SG","Josh Richardson","MIA","SAC","0.824167","4.1","2.2","3500"
"PG","Rajon Rondo","SAC","MIA","0.71825","31.4","24.99","7600"
"SG","Brandon Rush","GS","LAC","0.852583","1.8","0.93","3500"
"SG","J.R. Smith","CLE","MIL","0.707311","31","22.88","5000"
"PF","Marreese Speights","GS","LAC","0.874141","1.2","0.86","3500"
"PF","Jarnell Stokes","MIA","SAC","0.964562","2.1","1.99","3500"
"PF","Amar'e Stoudemire","MIA","SAC","0.964562","3.4","2.85","3900"
"PF","Tristan Thompson","CLE","MIL","0.966155","27.2","20.28","5200"
"PF","Jason Thompson","GS","LAC","0.874141","1.2","0.56","4000"
"SG","Klay Thompson","GS","LAC","0.852583","32","26.71","6400"
"PG","Beno Udrih","MIA","SAC","0.852208","21.7","16.71","3500"
"C","Anderson Varejao","CLE","MIL","0.909981","9.7","7.3","3500"
"PG","Greivis Vasquez","MIL","CLE","0.796061","27","19.89","4200"
"SG","Rashad Vaughn","MIL","CLE","0.759299","1.6","1.01","3500"
"SG","Dwyane Wade","MIA","SAC","0.824167","33.4","32.88","6700"
"C","Hassan Whiteside","MIA","SAC","1.06148","27.3","28.21","8600"
"PG","Mo Williams","CLE","MIL","0.808864","32.3","27.21","6200"
