Player_Name,FDFP
"Amar'e Stoudemire","11.7"
"Anderson Varejao","12.9"
"Andre Iguodala","20.3"
"Andrew Bogut","6.2"
"Austin Rivers","19.1"
"Ben McLemore","18.7"
"Blake Griffin","42.7"
"Brandon Rush","2.7"
"Caron Butler","0"
"Chris Bosh","43.2"
"Chris Paul","54.8"
"Darren Collison","10.5"
"DeAndre Jordan","23.5"
"Draymond Green","40.7"
"Dwyane Wade","43"
"Festus Ezeli","16.3"
"Gerald Green","12.7"
"Giannis Antetokounmpo","46"
"Goran Dragic","19.2"
"Greg Monroe","30.1"
"Greivis Vasquez","7.7"
"Harrison Barnes","29.9"
"Hassan Whiteside","30"
"Ian Clark","4.7"
"J.R. Smith","21.9"
"Jabari Parker","20.1"
"Jamal Crawford","22"
"James Jones","10.5"
"James Michael McAdoo","0"
"Jared Cunningham","14.6"
"Jason Thompson","1.2"
"Jerryd Bayless","12.2"
"John Henson","2"
"Johnny O'Bryant","2.7"
"Josh McRoberts","11.8"
"Josh Smith","18.4"
"Justise Winslow","9.7"
"Kevin Love","41.5"
"Khris Middleton","22.2"
"Klay Thompson","29.6"
"Kosta Koufos","13.4"
"LeBron James","42.8"
"Luc Mbah a Moute","0"
"Luol Deng","22.3"
"Marco Belinelli","23.7"
"Marreese Speights","10.5"
"Matthew Dellavedova","24.7"
"Michael Carter-Williams","15.7"
"O.J. Mayo","9.7"
"Omri Casspi","23.2"
"Paul Pierce","13.1"
"Quincy Acy","1.2"
"Rajon Rondo","50.8"
"Richard Jefferson","6.5"
"Rudy Gay","31.4"
"Stephen Curry","58.2"
"Timofey Mozgov","1"
"Tristan Thompson","26.7"
"Tyler Johnson","28.1"
"Wesley Johnson","12.9"
"Willie Cauley-Stein","18"
