pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
PG,Aaron Brooks,11/30/2015,CHI,SAS,4000,15.03,25.6,6.1,9.13,20.93,15.03
C,Al Horford,11/30/2015,ATL,OKC,6900,31.12,44.1,19.3,24.18,38.06,31.12
SF,Al-Farouq Aminu,11/30/2015,POR,LAC,5700,25.35,35,13.7,19.23,31.47,25.35
SG,Alec Burks,11/30/2015,UTA,GSW,5400,22.42,31.1,12.2,15.84,29,22.42
SG,Allen Crabbe,11/30/2015,POR,LAC,3500,12.55,24,4.6,6.9,18.2,12.55
PF,Amar'e Stoudemire,11/30/2015,MIA,BOS,3800,8.65,11.7,5.6,5.6,11.7,8.65
C,Amir Johnson,11/30/2015,BOS,MIA,4600,18.6,45.6,4.5,9.25,27.95,18.6
C,Andre Drummond,11/30/2015,DET,HOU,9300,44.09,70.4,26.4,32.28,55.91,44.095
SF,Andre Iguodala,11/30/2015,GSW,UTA,4700,22.19,34.2,13.1,16.39,27.99,22.19
SG,Andre Roberson,11/30/2015,OKC,ATL,3500,11.58,20.9,0.4,5.7,17.46,11.58
C,Andrew Bogut,11/30/2015,GSW,UTA,4600,21.17,45.6,6.2,11.52,30.81,21.165
SG,Anthony Morrow,11/30/2015,OKC,ATL,3500,10.2,20.5,1,4.54,15.86,10.2
PF,Anthony Tolliver,11/30/2015,DET,HOU,3500,10.54,21,0.2,3.59,17.49,10.54
C,Aron Baynes,11/30/2015,DET,HOU,3500,10.45,24.7,2.7,4.84,16.06,10.45
PG,Austin Rivers,11/30/2015,LAC,POR,3600,13.68,30.7,-2,6.67,20.68,13.675
SG,Avery Bradley,11/30/2015,BOS,MIA,6200,23.84,37.3,7.1,14.24,33.43,23.835
SG,Ben McLemore,11/30/2015,SAC,DAL,3800,12.91,27.1,1.2,5.71,20.1,12.905
PG,Beno Udrih,11/30/2015,MIA,BOS,3500,9.22,25.4,0.5,2,16.43,9.215
PF,Blake Griffin,11/30/2015,LAC,POR,9100,43,61.1,20.2,31.85,54.15,43
C,Boban Marjanovic,11/30/2015,SAS,CHI,3500,3.98,11.5,1,0.55,7.4,3.975
PF,Bobby Portis,11/30/2015,CHI,SAS,3500,7.03,11.4,3.2,3.66,10.4,7.03
PF,Boris Diaw,11/30/2015,SAS,CHI,3500,13.38,30.1,0.4,6.03,20.73,13.38
SG,Brandon Rush,11/30/2015,GSW,UTA,3600,9.79,19.1,2.7,3.95,15.62,9.785
SG,C.J. McCollum,11/30/2015,POR,LAC,6700,29.76,47.7,21.2,23.23,36.29,29.76
PF,Cameron Bairstow,11/30/2015,CHI,SAS,3500,2.8,3.2,2.4,2.4,3.2,2.8
PG,Cameron Payne,11/30/2015,OKC,ATL,3500,3.35,6.5,-1,0.88,5.82,3.35
SF,Caron Butler,11/30/2015,SAC,DAL,3500,6.63,15.8,1,1.13,12.13,6.63
SF,Chandler Parsons,11/30/2015,DAL,SAC,4500,13.08,30.5,5.2,7.11,19.06,13.085
PF,Charlie Villanueva,11/30/2015,DAL,SAC,3500,11.81,30.5,2,3.62,20.01,11.815
C,Chris Andersen,11/30/2015,MIA,BOS,3500,5.75,5.8,5.7,5.7,5.8,5.75
PF,Chris Bosh,11/30/2015,MIA,BOS,7900,33.67,45.6,19.4,26.12,41.21,33.665
SF,Chris Copeland,11/30/2015,MIL,DEN,3500,5.86,11.4,1.2,2.15,9.57,5.86
SG,Chris Johnson,11/30/2015,UTA,GSW,3500,4.69,9.5,1.2,2.02,7.35,4.685
C,Chris Kaman,11/30/2015,POR,LAC,3700,11.3,14.3,8.3,8.3,14.3,11.3
PG,Chris Paul,11/30/2015,LAC,POR,8900,35.29,54.8,22.1,25.68,44.89,35.285
PF,Cliff Alexander,11/30/2015,POR,LAC,3500,1.85,4.4,-1,-0.07,3.77,1.85
C,Clint Capela,11/30/2015,HOU,DET,4600,21.07,38.2,8.2,12.3,29.84,21.07
C,Cole Aldrich,11/30/2015,LAC,POR,3500,3,6.8,1,0.31,5.69,3
SF,Corey Brewer,11/30/2015,HOU,DET,3500,13.11,23.9,3,6.08,20.14,13.11
PG,D.J. Augustin,11/30/2015,OKC,ATL,3500,11.92,21.9,0.5,5.87,17.97,11.92
PG,Damian Lillard,11/30/2015,POR,LAC,9400,41.08,60.7,27.1,32.93,49.23,41.08
SF,Damien Inglis,11/30/2015,MIL,DEN,3500,5.4,10.3,1.2,1.85,8.95,5.4
SF,Danilo Gallinari,11/30/2015,DEN,MIL,7100,30.12,50.6,12.9,19.73,40.51,30.12
SG,Danny Green,11/30/2015,SAS,CHI,4100,17.35,30.2,12,12.7,21.99,17.345
PF,Darrell Arthur,11/30/2015,DEN,MIL,3900,14.16,31.6,5.2,7.39,20.93,14.16
PG,Darren Collison,11/30/2015,SAC,DAL,5000,20.82,36.5,10.5,14.53,27.12,20.825
SG,Darrun Hilliard,11/30/2015,DET,HOU,3500,4.9,6.2,3.6,3.6,6.2,4.9
PF,David Lee,11/30/2015,BOS,MIA,4100,14.79,26.5,2.4,7.08,22.51,14.795
PF,David West,11/30/2015,SAS,CHI,3500,11.89,27.8,2,5.22,18.55,11.885
C,DeAndre Jordan,11/30/2015,LAC,POR,7600,32.51,53.1,22.2,24.16,40.87,32.515
C,DeMarcus Cousins,11/30/2015,SAC,DAL,10600,45.16,60.4,25.3,35.41,54.9,45.155
PG,Dennis Schroder,11/30/2015,ATL,OKC,4900,20.35,32.6,8.9,13.68,27.02,20.35
PG,Deron Williams,11/30/2015,DAL,SAC,6500,27.37,45.2,13.5,19.7,35.04,27.37
PF,Derrick Favors,11/30/2015,UTA,GSW,8000,33.5,61.4,8.6,21.63,45.37,33.5
