DATE, OPP, DEF_RANK, MP, POINTS, FGM, FGA,FANTPTS,FANTSAL
2014-10-29,MIL,15,19.8166666667,11,3,6,13.4,$3500 ,
2014-11-01,MEM,7,23.4666666667,6,3,7,9.8,$3500 ,
2014-11-02,NYK,14,20.7666666667,6,3,6,17.5,$3500 ,
2014-11-04,NOP,15,23.0666666667,9,4,5,20,$3500 ,
2014-11-05,MIA,18,18.3833333333,13,4,6,24.1,$3500 ,
2014-11-07,ATL,6,35.4333333333,10,5,8,22,$3800 ,
2014-11-09,LAL,26,18.7,8,2,5,12,$3900 ,
2014-11-11,POR,21,27.3666666667,7,2,4,18.1,$3900 ,
2014-11-14,PHO,18,25.8166666667,8,3,7,16,$3800 ,
2014-11-15,GSW,24,19.0166666667,5,1,5,17,$3800 ,
2014-11-17,DAL,27,22.0666666667,4,2,3,7.4,$3800 ,
2014-11-19,IND,11,20.7833333333,7,3,6,11.4,$3600 ,
2014-11-21,ORL,17,14.8,3,1,6,15.2,$3500 ,
2014-11-23,MIA,6,30.9333333333,11,4,7,21.9,$3500 ,
2014-11-24,LAC,8,28.7666666667,17,5,7,21.7,$3500 ,
2014-11-26,POR,22,29.55,9,4,10,26.4,$3800 ,
2014-11-28,GSW,18,32.75,15,4,8,30.8,$3800 ,
2014-11-29,ATL,14,24.4833333333,4,0,6,8.6,$4000 ,
2014-12-03,CHI,3,23.2666666667,12,5,9,24.6,$3800 ,
2014-12-05,NYK,20,16.6833333333,6,2,4,15.5,$4500 ,
2014-12-10,BOS,8,23.95,9,3,6,13.4,$4500 ,
2014-12-12,MEM,2,34.3,6,2,7,23.2,$4400 ,
2014-12-13,BRK,2,19.6833333333,1,0,2,7.8,$4400 ,
2014-12-15,CLE,8,18.45,4,1,4,6.6,$4200 ,
2014-12-17,PHO,17,23.7833333333,7,2,4,24.8,$4300 ,
2014-12-19,PHI,21,22.5166666667,4,1,4,13.9,$4500 ,
2014-12-20,UTA,1,19.1666666667,7,3,6,15.7,$4500 ,
2014-12-22,DEN,27,18.9166666667,10,4,7,18.8,$4300 ,
2014-12-23,MIL,9,21.5,6,1,4,11.5,$4300 ,
2014-12-26,OKC,29,17.7,9,4,9,18.4,$4200 ,
2014-12-27,ORL,17,18.9,3,1,5,4.9,$4200 ,
2014-12-29,MIL,11,32.0333333333,6,2,3,21.5,$4000 ,
2014-12-31,HOU,25,26.1833333333,6,3,5,19.9,$4900 ,
2015-01-02,CLE,6,20.0833333333,8,4,7,26.9,$4900 ,
2015-01-03,ORL,21,20.4666666667,12,3,5,21.9,$4900 ,
2015-01-05,BOS,10,33.2,20,8,8,27.9,$5000 ,
2015-01-07,NOP,12,27.8,8,4,9,21.6,$5200 ,
2015-01-10,NYK,20,17.1166666667,2,0,3,2,$5200 ,
2015-01-14,SAS,3,32.2166666667,8,4,9,26,$5000 ,
2015-01-17,IND,9,25.7666666667,6,3,8,17.8,$5100 ,
2015-01-19,MIN,28,17.8166666667,2,1,5,15.8,$5000 ,
2015-01-21,MIA,6,31.8833333333,6,1,8,33.4,$4900 ,
2015-01-23,CLE,11,18.3833333333,5,2,6,15.4,$5100 ,
2015-01-24,NYK,20,32.3,8,2,5,29.1,$5100 ,
2015-01-28,SAS,4,36.5166666667,9,3,7,35.1,$5100 ,
2015-01-31,DEN,27,31.5166666667,21,10,11,45.1,$5300 ,
2015-02-02,WAS,12,30.8666666667,2,1,5,13.6,$5300 ,
2015-02-05,WAS,12,23.4166666667,0,0,3,6.5,$5500 ,
2015-02-07,PHI,17,20.9166666667,5,1,4,11.8,$5200 ,
2015-02-08,IND,10,27.1,2,1,3,15,$5200 ,
2015-02-10,DET,13,26.2333333333,8,3,8,18.4,$4900 ,
2015-02-21,OKC,28,20.1166666667,13,5,9,32.3,$4900 ,
2015-02-22,DAL,20,27.4,0,0,4,13,$4900 ,
2015-02-25,CHI,9,28.6,4,2,5,15.8,$4900 ,
2015-02-27,BOS,15,28.65,11,4,7,26.9,$4800 ,
2015-03-01,ORL,20,25.05,16,7,10,29.1,$4900 ,
2015-03-03,LAL,25,21.1,10,4,6,26.2,$5000 ,
2015-03-04,BRK,26,15.6833333333,13,5,9,19.3,$5000 ,
2015-03-06,TOR,20,27.3833333333,12,3,9,22.9,$5000 ,
2015-03-08,DET,16,20.0833333333,11,4,5,20.4,$5000 ,
2015-03-09,WAS,10,6.86666666667,0,0,1,5.2,$5000 ,
2015-03-20,SAC,29,19.15,1,0,3,14.2,$4700 ,




















