4
5
DATE OPP DEF_RANK MP POINTS FGM FGA FANTPTS FANTSAL
2014-10-29 BRK 5 6.03333333333 6 3 4 8.7 $4700  
2014-11-01 HOU 10 19.4833333333 8 2 2 18.3 $4500  
2014-11-03 DAL 29 8.26666666667 6 2 2 7.2 $4500  
2014-11-05 TOR 2 5.66666666667 0 0 0 3.6 $4300  
2014-11-07 IND 6 11.9833333333 6 1 1 9.9 $4000  
2014-11-08 CHI 2 21.1666666667 10 4 5 23.4 $4000  
2014-11-12 OKC 27 15.4 2 1 1 3.7 $4000  
2014-11-14 CLE 15 14.9666666667 8 4 5 8.5 $3700  
2014-11-17 PHO 18 27.2666666667 19 8 9 34.9 $3700  
2014-11-19 PHI 23 7.73333333333 1 0 1 4.6 $4000  
2014-11-21 MEM 3 16.7333333333 8 3 7 16.8 $3800  
2014-11-23 POR 17 11.35 2 1 5 10 $3800  
2014-11-28 CHI 1 16.9 6 2 3 11.3 $3700  
2014-11-30 SAS 1 22.85 7 2 5 22.5   
2014-12-02 ATL 16 24.1833333333 8 2 4 17.6 $3800  
2014-12-03 DET 6 27.4833333333 8 4 6 22 $3800  
2014-12-05 LAL 26 31.1333333333 24 10 11 43.8 $3900  
2014-12-07 WAS 7 27.35 8 2 6 21.1 $3900  
2014-12-08 WAS 6 22.3666666667 10 4 7 20.5 $3900  
2014-12-10 CHO 6 26.5833333333 13 6 9 23.1 $4100  
2014-12-12 NYK 18 24.8666666667 19 9 14 32.2 $4200  
2014-12-15 PHI 19 15.7 5 1 6 18 $4200  
2014-12-17 ORL 20 20.2 10 4 5 23.4 $4900  
2014-12-19 MIN 29 24.45 14 7 9 22.3 $4900  
2014-12-21 MIA 11 24.5 22 10 15 33.6 $4900  
2014-12-23 ORL 17 29.4333333333 22 6 9 36 $5100  
2014-12-26 BRK 16 23.5666666667 14 6 9 28.3 $5400  
2014-12-27 WAS 9 11.9166666667 3 1 6 10.3 $5400  
2014-12-31 SAC 27 17.6333333333 7 3 5 11.4 $5200  
2015-01-02 DAL 26 25.2 17 7 9 33 $5000  
2015-01-03 CHI 3 27.7 10 4 5 18.2 $5000  
2015-01-05 CHO 3 15.8 2 1 5 8.9 $5100  
2015-01-07 BRK 3 31.4 18 7 14 34.2 $4900  
2015-01-09 IND 5 16.1666666667 7 2 4 17 $5100  
2015-01-10 TOR 20 21.7166666667 6 3 9 12 $5100  
2015-01-12 NOP 19 21.0666666667 2 1 9 10.8 $4800  
2015-01-14 ATL 10 16.2666666667 2 0 4 10.5 $4600  
2015-01-16 CHI 3 18.9 12 5 8 18.7 $4400  
2015-01-19 LAC 16 18.5666666667 7 3 8 20.9 $4400  
2015-01-22 POR 17 16.2 7 3 7 16.3 $4400  
2015-01-23 DEN 29 23.0833333333 11 5 10 17.2 $4400  
2015-01-25 GSW 19 20.6 15 6 13 25 $4300  
2015-01-26 UTA 1 29.1666666667 14 6 8 26.9 $4300  
2015-01-28 MIN 28 19.8666666667 6 3 4 17.3 $4500  
2015-01-30 HOU 23 18.05 7 2 8 20.2 $4500  
2015-02-01 MIA 6 31.6 17 6 13 28.2 $4500  
2015-02-03 NYK 19 11.1333333333 9 3 3 15.5 $4900  
2015-02-04 DEN 28 26.5666666667 14 6 12 18 $4900  
2015-02-06 PHI 16 25.8833333333 16 6 10 33.3 $4700  
2015-02-07 MIL 3 17.0666666667 10 3 6 12.8 $4700  
2015-02-11 ATL 8 16.8833333333 6 2 5 15.5 $4600  
2015-02-20 SAC 30 30.8833333333 22 9 16 36.8 $4500  
2015-02-22 LAL 26 35.7666666667 8 4 8 24.7 $4800  
2015-02-23 PHO 25 36.1 12 5 13 20.2 $4500  
2015-02-25 NYK 20 17.45 8 4 7 10.6 $4800  
2015-02-27 CHO 21 24.15 7 3 8 27.3 $4800  
2015-03-01 GSW 19 27.3333333333 17 7 13 26.7 $4900  
2015-03-03 CLE 12 12.3333333333 4 2 3 9.1 $5000  
2015-03-04 UTA 1 29.8 8 4 8 27.7 $5000  
2015-03-06 NOP 1 14.35 6 3 7 11.3 $5100  
2015-03-08 ORL 22 23.1666666667 6 3 9 12.2 $4900  
2015-03-09 MIA 7 14.85 6 3 5 11.6 $4900  
2015-03-11 MEM 2 23.2 12 3 8 31.3 $4500  
2015-03-13 ORL 21 19.4 5 2 8 13.7 $4700  
2015-03-14 IND 7 26.0666666667 18 8 10 26.4 $4700  
2015-03-16 PHI 16 28.2166666667 26 11 15 33 $4700  
2015-03-18 OKC 26 20.2833333333 12 6 8 14.2 $4900  
2015-03-20 SAS 7 22.95 5 2 7 16.8 $4800  
2015-03-22 DET 14 19.9333333333 10 4 10 18.3 $4700  
2015-03-23 BRK 14 30.1166666667 18 9 14 30.9 $4700  
2015-03-25 MIA 6 18.8166666667 10 4 5 23.6 $5000  
2015-03-27 NYK 22 12.3333333333 2 1 3 3.6 $5000  
2015-03-29 LAC 15 20.7833333333 16 7 12 22 $4700  
2015-03-30 CHO 15 25.6333333333 8 4 9 18.2 $4700  
2015-04-01 IND 4 23.6166666667 19 8 9 28.1 $4700  
2015-04-03 MIL 7 23.6666666667 8 3 9 22.9 $4800  
2015-04-04 TOR 19 24.6666666667 20 8 10 35.3 $4800  
2015-04-08 DET 14 21.3 6 2 7 11.4 $4800  
2015-04-10 CLE 18.1833333333 13 5 9 26.7 $4600  
2015-04-12 CLE 18.95 10 5 6 16 $4700  
2015-04-14 TOR 26.3666666667 12 5 11 25.1 $4600  
2015-04-15 MIL 14.0833333333 8 4 7 13.1 $4600  
